frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,839.3660278320312,339.80242919921875,874.0433959960938,344.76287841796875,850.843994140625,389.161376953125,884.4554443359375,400.6465759277344,875.484130859375,437.2858581542969,885.9906616210938,447.3486022949219,836.4528198242188,441.99591064453125,855.0240478515625,445.214111328125,889.085693359375,517.7366333007812,874.1141357421875,521.6428833007812,892.8561401367188,583.8330078125,827.4404296875,593.0952758789062
1,0002.jpg,0,840.1331176757812,338.423828125,873.7759399414062,343.44683837890625,852.19775390625,386.8048095703125,882.8284912109375,398.4850769042969,879.5260009765625,433.90325927734375,886.8983764648438,444.7745666503906,839.1636962890625,440.6182556152344,856.9645385742188,443.982666015625,889.952392578125,517.44384765625,874.0064697265625,521.7060546875,894.1295776367188,582.6215209960938,827.9017333984375,592.6898803710938
2,0003.jpg,0,839.7391357421875,338.8084716796875,871.2445068359375,339.75213623046875,855.6138305664062,385.61163330078125,881.8570556640625,390.39678955078125,886.0635986328125,429.9130859375,890.0823364257812,439.2650451660156,840.8844604492188,440.1692810058594,857.3404541015625,442.12957763671875,890.3966674804688,517.9273071289062,875.156005859375,519.59375,895.4424438476562,583.5486450195312,828.1742553710938,591.6126708984375
3,0004.jpg,0,839.1672973632812,336.2469482421875,869.291015625,338.35247802734375,859.1475830078125,381.32305908203125,882.7413940429688,389.7138671875,890.3660278320312,423.706787109375,894.1084594726562,437.13714599609375,842.2864990234375,438.56121826171875,857.6514282226562,440.951416015625,889.6666870117188,516.6661376953125,873.674560546875,518.5362548828125,896.47607421875,582.8544921875,828.7266235351562,590.010009765625
4,0005.jpg,0,840.5902099609375,333.06109619140625,868.9882202148438,338.61517333984375,864.9575805664062,374.43328857421875,885.6483764648438,393.76458740234375,897.525634765625,409.5499267578125,896.7118530273438,438.3620910644531,844.3304443359375,435.4053039550781,858.4605102539062,438.8384704589844,890.8048095703125,515.0103759765625,873.2478637695312,518.471923828125,896.9144897460938,581.1541137695312,828.7212524414062,590.1275634765625
5,0006.jpg,0,842.8568725585938,332.892333984375,863.6026611328125,340.8475646972656,865.9929809570312,373.4765930175781,878.0477905273438,400.3111572265625,897.9759521484375,402.314208984375,894.7258911132812,439.17041015625,849.163818359375,436.1690368652344,858.1895751953125,440.78265380859375,893.05615234375,514.6243286132812,872.2506103515625,519.3338623046875,899.3902587890625,581.5426635742188,829.3792724609375,590.7866821289062
6,0007.jpg,0,848.6546630859375,331.3832092285156,859.8992309570312,344.4382019042969,885.3695068359375,345.8540344238281,871.92626953125,400.3183898925781,924.0057983398438,345.563232421875,901.4635620117188,434.3347473144531,856.4791870117188,435.9039001464844,861.007080078125,441.6215515136719,890.7102661132812,511.21270751953125,877.9896240234375,516.1448364257812,895.3023071289062,578.81103515625,836.834716796875,589.87890625
7,0008.jpg,0,855.1111450195312,327.2049865722656,854.665771484375,346.1164245605469,892.2217407226562,331.26251220703125,873.6964721679688,404.14984130859375,920.3968505859375,321.9157409667969,910.6232299804688,437.80670166015625,866.7947998046875,434.64117431640625,862.7191772460938,442.07818603515625,896.097900390625,510.7755126953125,874.762939453125,516.9711303710938,896.4249877929688,579.8720703125,834.9514770507812,590.2078247070312
8,0009.jpg,0,860.7656860351562,322.8477783203125,854.8992309570312,350.62109375,897.5425415039062,313.5361022949219,878.4544677734375,407.5863037109375,919.9854736328125,300.19769287109375,919.1234741210938,435.6790771484375,872.2621459960938,432.2861022949219,864.0557250976562,442.71881103515625,899.8341064453125,507.6785888671875,873.8922119140625,517.7410278320312,896.3570556640625,578.395263671875,833.330322265625,590.17236328125
9,0010.jpg,0,862.359375,317.522216796875,855.2567138671875,354.1722412109375,895.1141357421875,292.44622802734375,883.04150390625,409.8575439453125,914.9856567382812,271.8183898925781,927.65087890625,433.26422119140625,878.183349609375,429.8736267089844,868.2504272460938,443.7384033203125,904.7938842773438,505.2113037109375,875.076171875,520.0138549804688,897.3860473632812,575.712158203125,834.3471069335938,591.3374633789062
10,0011.jpg,0,865.862060546875,316.611083984375,857.9747924804688,356.0343017578125,894.2872314453125,284.6833801269531,884.8809814453125,409.7843933105469,912.6468505859375,260.80780029296875,931.2666625976562,432.0639343261719,880.825439453125,428.154296875,870.067626953125,442.9201354980469,906.4461669921875,502.756591796875,875.826904296875,518.320556640625,899.7373657226562,574.3089599609375,835.0913696289062,590.4382934570312
