frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,792.0018310546875,237.88717651367188,807.4921264648438,239.08294677734375,800.9080200195312,294.62469482421875,817.4319458007812,299.4922180175781,846.685791015625,316.3583068847656,862.0565185546875,316.3905944824219,787.6895141601562,352.8831481933594,794.8308715820312,356.0565490722656,821.7736206054688,435.3834533691406,809.7094116210938,441.2292785644531,817.7345581054688,519.330322265625,773.4752197265625,530.8988647460938
1,0002.jpg,0,790.9652709960938,234.72979736328125,809.242919921875,237.7386474609375,798.5503540039062,291.4866638183594,821.1122436523438,297.5506591796875,840.087646484375,310.5303039550781,859.2030639648438,312.35723876953125,788.513916015625,352.36669921875,797.6343383789062,356.3843688964844,827.5900268554688,436.8089599609375,816.7344970703125,442.7698669433594,825.6469116210938,521.6771850585938,780.8128662109375,533.9683227539062
2,0003.jpg,0,792.0563354492188,236.60745239257812,803.317138671875,237.14718627929688,800.6724243164062,291.6507873535156,810.528564453125,295.01568603515625,846.4054565429688,311.77288818359375,855.5624389648438,309.4077453613281,791.4118041992188,352.5513000488281,796.0133666992188,355.8367614746094,824.21826171875,434.976318359375,809.2169799804688,441.5815124511719,816.1388549804688,520.015869140625,773.5341186523438,532.4600830078125
3,0004.jpg,0,789.5866088867188,231.4933319091797,807.2785034179688,232.58697509765625,802.6463623046875,284.07122802734375,813.056396484375,289.0126953125,845.8448486328125,299.8546142578125,856.5167236328125,302.1185607910156,790.9481201171875,350.4156494140625,799.9448852539062,353.86126708984375,829.829833984375,436.3147277832031,818.8779296875,440.5047302246094,829.2794189453125,523.0674438476562,782.53271484375,532.2920532226562
4,0005.jpg,0,793.2105712890625,233.59249877929688,799.7655639648438,234.55050659179688,809.8783569335938,277.5101623535156,804.905029296875,290.867919921875,855.3011474609375,285.428466796875,853.5806274414062,306.45751953125,794.8343505859375,351.2314147949219,796.75048828125,354.3272705078125,825.7880859375,435.18463134765625,812.5325927734375,439.92034912109375,817.7208251953125,520.52783203125,775.53076171875,530.7286987304688
5,0006.jpg,0,789.2608032226562,233.80157470703125,803.3651733398438,233.17922973632812,796.9049682617188,288.150390625,809.7925415039062,288.1025390625,839.2810668945312,307.2344970703125,847.8197631835938,302.961181640625,795.40283203125,353.06658935546875,801.6520385742188,355.88995361328125,829.015625,439.5398254394531,815.276611328125,443.4373779296875,828.2078247070312,523.0186767578125,778.5033569335938,531.8040771484375
6,0007.jpg,0,789.02099609375,235.05841064453125,803.8560791015625,233.34991455078125,797.9638671875,289.32110595703125,811.0736694335938,287.20208740234375,839.2111206054688,305.7138671875,846.88427734375,299.36358642578125,798.7015991210938,354.90203857421875,805.3377685546875,357.3637390136719,831.7057495117188,441.18603515625,817.7941284179688,444.37664794921875,829.4832763671875,524.442138671875,779.3912353515625,532.0059814453125
7,0008.jpg,0,790.10009765625,238.03631591796875,799.9118041992188,235.57937622070312,800.9041748046875,288.6048889160156,804.579345703125,285.33935546875,841.335693359375,305.03155517578125,842.64208984375,292.93597412109375,804.2890625,356.0229797363281,807.3952026367188,358.4701232910156,838.3553466796875,438.2940979003906,819.1207885742188,442.8145751953125,833.9927978515625,521.4661865234375,780.5532836914062,530.9229125976562
8,0009.jpg,0,799.1966552734375,231.65306091308594,804.4862060546875,235.37286376953125,826.2960205078125,263.9454345703125,814.9691162109375,277.77398681640625,851.506591796875,257.7380065917969,845.6903076171875,263.4329833984375,808.9845581054688,354.4896240234375,808.683837890625,358.27294921875,840.5615234375,442.4872131347656,822.9898681640625,446.6213684082031,836.452880859375,525.5029907226562,780.63134765625,529.1919555664062
9,0010.jpg,0,798.8728637695312,235.54022216796875,796.54931640625,238.7618408203125,817.6090698242188,253.16546630859375,806.3533325195312,279.2983703613281,840.1829833984375,238.69140625,841.9138793945312,281.282470703125,816.556884765625,352.4491882324219,810.2958984375,356.168701171875,853.9090576171875,435.5594177246094,821.219970703125,440.6075439453125,842.9739379882812,517.8494873046875,783.7906494140625,525.8568115234375
10,0011.jpg,0,803.1055908203125,231.0621795654297,791.9646606445312,241.95846557617188,820.2664794921875,228.52474975585938,802.08203125,280.3443603515625,835.9957885742188,198.18910217285156,840.0438842773438,281.0758056640625,821.331787109375,350.28863525390625,809.27587890625,356.5910339355469,857.147216796875,433.72137451171875,824.1866455078125,441.39764404296875,839.3088989257812,514.2486572265625,783.8003540039062,524.880859375
11,0012.jpg,0,806.5244140625,231.6511993408203,788.20458984375,244.39114379882812,818.1061401367188,226.50277709960938,803.8011474609375,281.4104919433594,834.0780639648438,196.34805297851562,841.9803466796875,283.80535888671875,827.1815795898438,349.89794921875,810.0411987304688,356.9508056640625,861.0947875976562,433.303466796875,823.2932739257812,442.19873046875,841.1221313476562,514.2705078125,787.2173461914062,526.3809814453125
12,0013.jpg,0,811.8955078125,239.66043090820312,791.2269287109375,245.148193359375,829.9667358398438,276.28533935546875,803.8637084960938,285.93701171875,854.7310180664062,290.77520751953125,839.9354858398438,286.05078125,833.580078125,361.3096923828125,816.7132568359375,366.9898376464844,866.0221557617188,442.8527526855469,834.0647583007812,452.4752502441406,839.32275390625,519.5018310546875,786.3563232421875,533.7342529296875
13,0014.jpg,0,807.5194091796875,241.74774169921875,795.5171508789062,245.85714721679688,826.8165893554688,279.0559997558594,800.5632934570312,288.54034423828125,856.1943359375,293.96710205078125,837.79541015625,290.520263671875,832.5203857421875,363.97637939453125,821.1513061523438,369.1471252441406,867.92041015625,444.4315185546875,838.1640014648438,452.6152648925781,843.1832885742188,520.7946166992188,784.5861206054688,533.0439453125
14,0015.jpg,0,815.8845825195312,238.52618408203125,795.30859375,248.39202880859375,831.2102661132812,275.3260803222656,797.0310668945312,297.6968078613281,854.541748046875,290.1761474609375,832.7664184570312,290.75628662109375,841.1763305664062,362.89764404296875,824.2047729492188,370.2537841796875,875.436279296875,444.2210388183594,843.5281982421875,455.04803466796875,845.4392700195312,522.3880004882812,785.1762084960938,533.1700439453125
15,0016.jpg,0,818.219970703125,239.26129150390625,796.314697265625,252.24298095703125,831.3592529296875,272.3451232910156,799.5532836914062,300.8970031738281,851.7235717773438,283.84613037109375,831.89453125,285.8916015625,845.5078125,365.8571472167969,827.2117919921875,374.63983154296875,881.9869995117188,447.9955749511719,848.5057373046875,460.9976501464844,847.2095947265625,520.7840576171875,789.091796875,531.7757568359375
16,0017.jpg,0,820.6911010742188,238.41659545898438,794.7291870117188,257.784912109375,831.4589233398438,262.87994384765625,802.982666015625,305.6143798828125,841.2319946289062,263.9162292480469,826.19873046875,280.08428955078125,847.9553833007812,366.74517822265625,826.65673828125,377.92059326171875,889.6820068359375,446.3614501953125,853.65673828125,463.0189208984375,849.25244140625,516.5562133789062,793.4967651367188,530.9094848632812
17,0018.jpg,0,822.0884399414062,244.794921875,797.977294921875,266.3324890136719,837.1176147460938,265.8638610839844,799.7061157226562,319.78509521484375,843.7659912109375,267.18939208984375,821.3103637695312,301.36395263671875,848.5120849609375,370.5411071777344,828.3953247070312,381.8813171386719,893.9436645507812,446.1562194824219,857.0678100585938,461.4997253417969,853.994140625,516.0679931640625,791.082275390625,527.6847534179688
17,0018.jpg,1,11.838578224182129,266.674560546875,10.482542991638184,266.57958984375,21.555091857910156,285.6499328613281,18.89406394958496,286.8235168457031,27.298755645751953,299.8023681640625,23.608537673950195,300.5436706542969,8.907388687133789,305.47552490234375,8.538421630859375,305.3096618652344,8.674461364746094,339.05328369140625,9.50928020477295,339.00970458984375,9.44006633758545,368.46044921875,9.208855628967285,368.064697265625
18,0019.jpg,0,822.7144775390625,247.03292846679688,800.591796875,275.85791015625,839.5106201171875,261.4285888671875,798.8047485351562,334.81964111328125,842.3361206054688,261.8550109863281,813.9337158203125,314.48651123046875,847.7332153320312,373.5204162597656,829.5056762695312,387.3100891113281,894.1873168945312,445.89306640625,862.3938598632812,463.7833557128906,851.3472900390625,514.025634765625,793.0501708984375,525.210693359375
19,0020.jpg,0,818.8438110351562,247.346923828125,800.1301879882812,280.59881591796875,837.0250854492188,257.2747802734375,795.269287109375,337.5596923828125,840.1263427734375,247.66720581054688,820.1431274414062,302.18707275390625,844.8228149414062,367.0494689941406,828.6607055664062,384.0023193359375,894.0789794921875,438.7376403808594,861.9365234375,462.6424560546875,851.7791137695312,509.4676513671875,791.143798828125,527.9471435546875
20,0021.jpg,0,820.4219360351562,246.493896484375,799.6796264648438,282.56915283203125,831.244140625,253.265625,793.5786743164062,339.5050354003906,825.8482666015625,234.5733642578125,815.20166015625,295.3640441894531,848.4102172851562,369.2547302246094,830.5350341796875,387.3291320800781,896.97265625,440.39764404296875,862.77587890625,465.81884765625,854.4823608398438,508.70489501953125,795.507568359375,528.6161499023438
21,0022.jpg,0,818.9937133789062,238.71466064453125,809.8666381835938,286.1511535644531,816.3244018554688,192.41600036621094,795.2818603515625,339.764404296875,793.74853515625,130.56919860839844,810.6325073242188,310.1947326660156,846.551025390625,365.31207275390625,834.4676513671875,384.9098815917969,890.1337890625,436.3792724609375,862.33447265625,457.7796630859375,850.6351928710938,507.8057861328125,787.207275390625,521.9286499023438
22,0023.jpg,0,824.9437866210938,245.89535522460938,812.7859497070312,293.5716552734375,817.9522705078125,191.96096801757812,797.9193115234375,340.30377197265625,789.6043090820312,135.05056762695312,795.6254272460938,324.17431640625,854.2485961914062,371.6062927246094,840.8646240234375,390.0435485839844,896.8947143554688,440.115966796875,869.5679931640625,458.8370361328125,848.8843994140625,510.4521484375,792.36669921875,522.861328125
23,0024.jpg,0,835.0648803710938,250.02407836914062,817.0607299804688,295.2508850097656,827.5233154296875,185.84120178222656,792.1378173828125,332.6044006347656,799.8931274414062,139.2717742919922,795.8104858398438,321.1998291015625,862.02490234375,377.49285888671875,843.5426025390625,393.8228759765625,903.6483154296875,447.0111083984375,867.144775390625,460.91180419921875,868.646484375,515.020751953125,792.0499877929688,519.6622924804688
24,0025.jpg,0,839.6497192382812,254.453369140625,815.6615600585938,295.9371337890625,837.376708984375,197.29710388183594,796.2981567382812,332.4803161621094,810.3411254882812,154.91690063476562,805.3389282226562,318.61016845703125,865.0575561523438,378.7861633300781,843.0614624023438,393.6303405761719,901.309814453125,448.27313232421875,865.3319091796875,460.3346862792969,864.4290771484375,515.1975708007812,793.6321411132812,516.21826171875
25,0026.jpg,0,841.8519897460938,250.98904418945312,813.2552490234375,296.86480712890625,835.7537231445312,197.0052947998047,797.569091796875,333.1542053222656,804.17333984375,152.07891845703125,802.6499633789062,305.0473937988281,872.4486694335938,373.26641845703125,847.9478149414062,389.6133117675781,898.3696899414062,446.74053955078125,861.3341064453125,461.40081787109375,867.2388305664062,512.7693481445312,803.4699096679688,515.4215698242188
26,0027.jpg,0,834.7108764648438,246.30697631835938,813.4314575195312,292.6230773925781,833.2000122070312,190.87295532226562,810.1434326171875,332.96331787109375,813.154052734375,133.7075653076172,806.9798583984375,316.6568603515625,864.843505859375,361.438232421875,846.0697021484375,378.6044921875,890.6539916992188,441.6836242675781,862.456787109375,457.682861328125,862.5123901367188,511.539794921875,816.2120361328125,518.2550659179688
27,0028.jpg,0,834.6242065429688,244.5177001953125,824.7251586914062,272.72918701171875,827.1722412109375,238.42935180664062,824.462890625,318.0352783203125,827.3369750976562,206.1653289794922,820.2725219726562,291.5215148925781,862.5210571289062,353.174560546875,853.1629638671875,363.946533203125,879.9086303710938,432.3725891113281,862.6394653320312,443.9849853515625,858.0255737304688,505.03070068359375,822.3132934570312,512.3436279296875
27,0028.jpg,1,12.705869674682617,267.03399658203125,7.062591075897217,267.3401184082031,19.53339958190918,286.3028259277344,9.982780456542969,288.5883483886719,24.640520095825195,301.1463623046875,12.086017608642578,302.8150329589844,10.775811195373535,305.916015625,7.798313140869141,306.162109375,10.632280349731445,337.4559326171875,10.636390686035156,337.81689453125,10.27758502960205,367.3455810546875,10.052838325500488,367.4930725097656
28,0029.jpg,0,824.1696166992188,241.13577270507812,823.0015258789062,244.192626953125,812.4495849609375,245.87799072265625,819.99365234375,258.6206970214844,803.056396484375,217.95242309570312,798.5003051757812,236.15142822265625,855.083984375,340.07275390625,853.9522094726562,342.24609375,863.879150390625,421.7904052734375,866.4613647460938,423.7275390625,844.3834228515625,501.40093994140625,843.1986083984375,504.21734619140625
28,0029.jpg,1,12.79763412475586,266.86273193359375,7.169835090637207,267.1648254394531,19.781450271606445,286.1300964355469,10.076385498046875,288.3708190917969,25.060283660888672,301.1360168457031,12.109369277954102,302.6138916015625,11.070744514465332,305.881591796875,8.132673263549805,306.13238525390625,10.880961418151855,337.3858947753906,10.943923950195312,337.7419738769531,10.812716484069824,367.3056945800781,10.674736976623535,367.4242248535156
29,0030.jpg,0,829.4278564453125,233.3424072265625,824.6910400390625,240.23971557617188,835.9984741210938,240.42816162109375,828.9669799804688,254.55496215820312,803.6787109375,228.200927734375,799.7655029296875,239.7628173828125,862.15234375,335.29766845703125,858.2904052734375,337.47564697265625,860.9868774414062,421.3963928222656,857.3356323242188,423.95977783203125,847.90087890625,499.32611083984375,844.265380859375,499.29541015625
29,0030.jpg,1,13.20329475402832,266.64837646484375,6.588563919067383,266.9854736328125,19.690893173217773,286.0344543457031,9.002420425415039,288.4255676269531,24.1064395904541,300.9454650878906,10.669854164123535,302.75665283203125,11.468994140625,305.57318115234375,7.806305885314941,305.83355712890625,11.331461906433105,337.11761474609375,10.789443016052246,337.5115051269531,11.298912048339844,367.5423889160156,10.629114151000977,367.6492004394531
30,0031.jpg,0,821.8809814453125,221.9467315673828,825.349853515625,234.20260620117188,829.2373046875,218.12109375,828.03515625,239.55801391601562,803.4754028320312,216.8160858154297,798.7802124023438,222.60658264160156,859.0528564453125,314.223388671875,861.5722045898438,318.2755432128906,851.0693969726562,408.82080078125,863.4054565429688,414.523193359375,847.2427978515625,497.994873046875,861.10205078125,498.63189697265625
31,0032.jpg,0,794.4891967773438,231.21554565429688,838.7267456054688,203.20443725585938,805.0526123046875,238.08270263671875,843.9259033203125,177.96502685546875,813.9970092773438,200.86941528320312,821.9038696289062,164.52944946289062,842.5326538085938,317.9687805175781,874.01123046875,309.17987060546875,842.1099853515625,414.4647216796875,866.2305908203125,399.13671875,850.3338623046875,498.13922119140625,872.6399536132812,487.0107421875
32,0033.jpg,0,802.9467163085938,220.42303466796875,832.67919921875,190.67037963867188,806.8035888671875,239.69058227539062,847.776611328125,165.84127807617188,816.3539428710938,228.47271728515625,841.8816528320312,143.60316467285156,837.30224609375,303.58843994140625,860.3731079101562,294.33544921875,843.3385620117188,400.80816650390625,887.1160278320312,388.0956115722656,836.0968017578125,488.1220703125,890.6504516601562,483.0047302246094
33,0034.jpg,0,791.952392578125,240.68154907226562,825.836181640625,189.2920379638672,814.5628662109375,279.01385498046875,847.2578125,145.94912719726562,823.76220703125,265.11749267578125,845.491455078125,99.73286437988281,838.158447265625,308.45074462890625,864.0223999023438,290.1549987792969,847.9088745117188,403.977783203125,886.4965209960938,378.2506103515625,840.1459350585938,487.2150573730469,886.5685424804688,469.32403564453125
34,0035.jpg,0,786.3806762695312,240.28350830078125,820.7725830078125,189.70925903320312,814.7293701171875,267.6360778808594,848.5164184570312,130.2314910888672,834.9407958984375,236.84475708007812,857.7030029296875,92.2547607421875,836.2928466796875,310.1510314941406,863.0548706054688,295.15716552734375,847.4837646484375,393.658203125,890.5436401367188,371.7203674316406,834.6708984375,473.2916259765625,889.8408203125,460.1435241699219
35,0036.jpg,0,786.6219482421875,242.6796875,823.0501708984375,196.3292694091797,800.0206298828125,288.4078369140625,845.4473876953125,174.0100555419922,809.4168701171875,285.3712158203125,851.7830810546875,140.08131408691406,838.5608520507812,302.85174560546875,865.8958129882812,286.8167724609375,849.22900390625,392.54638671875,886.859375,369.19854736328125,846.3668823242188,477.3459167480469,896.363525390625,458.4269104003906
36,0037.jpg,0,783.8247680664062,243.18316650390625,825.3783569335938,201.81161499023438,798.68408203125,289.39691162109375,847.6016235351562,192.3748321533203,813.3560791015625,291.82952880859375,837.5813598632812,170.79249572753906,840.7479248046875,303.2981262207031,872.0485229492188,288.84100341796875,847.7967529296875,393.63775634765625,889.2734375,371.6409606933594,852.977294921875,475.5041809082031,906.6468505859375,456.10064697265625
36,0037.jpg,1,11.547677993774414,266.8097839355469,9.097975730895996,267.01324462890625,18.917688369750977,286.2278137207031,13.836869239807129,288.0377197265625,24.599437713623047,300.2558898925781,16.800493240356445,301.2026062011719,9.418886184692383,306.0933837890625,8.503692626953125,306.2633361816406,10.096186637878418,338.2084655761719,11.32022762298584,338.444091796875,9.622856140136719,368.8992004394531,10.164830207824707,368.96142578125
37,0038.jpg,0,782.9840698242188,242.50125122070312,829.8365478515625,212.732177734375,802.7374267578125,298.16595458984375,843.5984497070312,246.74765014648438,813.1018676757812,305.057373046875,818.2478637695312,283.3653869628906,843.1985473632812,309.8470764160156,880.6961059570312,300.3680725097656,843.055419921875,397.2301330566406,893.2160034179688,376.93829345703125,843.7689208984375,483.1053161621094,911.3762817382812,458.86456298828125
37,0038.jpg,1,11.678622245788574,266.7295227050781,9.212576866149902,266.937255859375,19.00855255126953,285.9671325683594,13.876895904541016,287.7434387207031,24.5861759185791,299.752197265625,16.74024772644043,300.5859680175781,9.44651985168457,305.85675048828125,8.522953987121582,306.0122985839844,9.909236907958984,338.15216064453125,11.175089836120605,338.3823547363281,9.736291885375977,368.8658752441406,10.352417945861816,368.9056701660156
38,0039.jpg,0,782.5535278320312,250.45730590820312,819.66162109375,213.76290893554688,802.95654296875,314.18243408203125,832.893798828125,241.4962158203125,806.8372192382812,319.7044372558594,809.2990112304688,272.9407958984375,843.422119140625,315.2629699707031,876.1292114257812,303.2104797363281,833.5224609375,398.175048828125,899.9907836914062,375.08831787109375,832.5458984375,472.6482849121094,920.1641235351562,452.0670166015625
38,0039.jpg,1,12.078136444091797,266.6043395996094,9.002196311950684,266.8058166503906,19.48778533935547,285.5718994140625,13.765034675598145,287.394775390625,24.692758560180664,298.8567199707031,16.513776779174805,299.6694030761719,9.78726863861084,305.65155029296875,8.419217109680176,305.76055908203125,10.025236129760742,337.91131591796875,10.950839042663574,338.13763427734375,9.997856140136719,368.7014465332031,10.273021697998047,368.64447021484375
39,0040.jpg,0,784.2279052734375,266.1602478027344,827.8807983398438,240.61160278320312,802.3491821289062,316.11181640625,845.7432250976562,277.2879638671875,810.7158203125,322.5037841796875,828.703369140625,306.3909912109375,844.525146484375,313.39312744140625,880.3258666992188,305.265380859375,836.9173583984375,395.72088623046875,903.124267578125,374.5557861328125,838.4015502929688,475.5463562011719,931.55908203125,443.4315185546875
39,0040.jpg,1,12.661192893981934,266.41021728515625,8.9839506149292,266.5987548828125,20.184232711791992,284.928466796875,13.724196434020996,286.74810791015625,25.070785522460938,297.214599609375,16.362571716308594,297.8665466308594,10.34928035736084,305.5333251953125,8.554811477661133,305.6026916503906,9.930584907531738,337.7417297363281,10.592275619506836,337.9560546875,10.22883415222168,368.63287353515625,10.281198501586914,368.494384765625
40,0041.jpg,0,777.796142578125,269.07501220703125,818.4735107421875,245.0528564453125,808.4419555664062,321.0623779296875,840.6215209960938,287.9810791015625,809.1695556640625,338.49322509765625,831.0784301757812,332.79473876953125,847.002685546875,322.7430725097656,881.7337646484375,315.247802734375,835.5370483398438,405.2294006347656,901.3088989257812,382.9243469238281,845.4651489257812,477.4040832519531,944.2604370117188,440.6446533203125
40,0041.jpg,1,12.945185661315918,264.47296142578125,5.016507625579834,265.1412048339844,20.688695907592773,281.5305480957031,7.647033214569092,283.2519226074219,23.511648178100586,296.00958251953125,7.112000942230225,297.0937805175781,10.614598274230957,301.80615234375,6.288665771484375,301.8828430175781,12.044367790222168,332.0150146484375,8.370266914367676,332.3074951171875,12.735371589660645,361.2989501953125,7.856264591217041,361.845458984375
41,0042.jpg,0,773.8564453125,280.1889343261719,825.1515502929688,262.41790771484375,800.760009765625,318.6427001953125,844.5069580078125,297.1297302246094,806.8878784179688,340.05645751953125,828.2371826171875,330.3428955078125,845.1690063476562,338.7633361816406,883.6865844726562,333.3295593261719,838.0096435546875,415.2754211425781,909.3527221679688,395.0191345214844,854.1970825195312,477.3946228027344,944.4268798828125,436.7288513183594
41,0042.jpg,1,14.967140197753906,265.3421630859375,7.194156169891357,265.3719787597656,21.80477523803711,282.790283203125,9.925543785095215,284.25799560546875,24.806503295898438,293.10101318359375,12.558505058288574,293.7960510253906,11.844697952270508,303.54107666015625,7.32544469833374,303.4664001464844,10.749765396118164,337.24322509765625,9.612553596496582,337.4098815917969,10.681612014770508,367.93280029296875,9.896645545959473,367.5478515625
42,0043.jpg,0,781.3291015625,288.2879943847656,823.75341796875,271.6327819824219,805.27734375,333.8202209472656,839.5,312.87237548828125,806.9223022460938,353.3186340332031,823.9576416015625,348.95361328125,841.043701171875,344.4613952636719,875.6717529296875,339.8358459472656,833.9463500976562,416.59600830078125,890.3385009765625,400.9953308105469,848.4114379882812,478.80328369140625,929.6986083984375,449.5998840332031
43,0044.jpg,0,776.2892456054688,298.5124816894531,823.6874389648438,280.1855163574219,800.5030517578125,342.6770324707031,846.0750732421875,318.9273986816406,805.4688720703125,362.853515625,829.7923583984375,347.8082275390625,844.6489868164062,352.3700256347656,880.58251953125,346.6077880859375,833.8579711914062,424.647705078125,900.4691772460938,406.7134094238281,853.81689453125,466.3592834472656,946.0361938476562,430.49810791015625
44,0045.jpg,0,782.8585205078125,296.4043884277344,821.2481079101562,284.9686584472656,806.024169921875,334.80865478515625,835.8626098632812,321.71673583984375,807.6734619140625,356.6337585449219,817.7147827148438,352.14935302734375,838.7257690429688,350.2232666015625,869.8475341796875,347.3717346191406,830.9981079101562,426.3876953125,881.6746826171875,415.11578369140625,845.3681030273438,481.63067626953125,915.7862548828125,458.1201477050781
45,0046.jpg,0,783.7423095703125,297.17449951171875,821.0363159179688,288.2088928222656,804.0322875976562,331.0890808105469,841.6255493164062,322.5450134277344,807.9688720703125,354.25823974609375,825.3231201171875,352.23785400390625,840.7791748046875,347.675048828125,871.520751953125,345.1894836425781,827.0484008789062,426.0918884277344,886.1901245117188,414.74114990234375,841.1958618164062,470.3148498535156,933.3036499023438,444.85382080078125
46,0047.jpg,0,783.490234375,300.03753662109375,823.8777465820312,293.09637451171875,804.6273803710938,331.99615478515625,852.8995971679688,326.67767333984375,804.7367553710938,354.90338134765625,846.5484619140625,354.01495361328125,840.19482421875,347.9222412109375,871.6224975585938,346.2203063964844,823.759033203125,422.8529052734375,879.6144409179688,412.8984375,849.9055786132812,475.0046691894531,934.7114868164062,450.91961669921875
47,0048.jpg,0,785.368896484375,294.483154296875,820.7429809570312,287.00640869140625,801.3330688476562,329.9133605957031,837.7085571289062,322.6827697753906,802.5699462890625,353.92083740234375,815.1686401367188,352.9050598144531,841.3319702148438,347.8279113769531,870.0422973632812,345.54473876953125,813.321044921875,421.58331298828125,858.489013671875,411.4725646972656,842.0156860351562,479.90283203125,911.0325927734375,456.42095947265625
