frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,727.3458251953125,321.86016845703125,740.5513305664062,321.7700500488281,744.37158203125,363.18621826171875,745.6743774414062,369.9654235839844,776.1898803710938,380.9292297363281,782.103759765625,387.97454833984375,726.9093017578125,412.79290771484375,734.8436279296875,414.45147705078125,747.2388916015625,479.1933898925781,743.7195434570312,480.84429931640625,747.3700561523438,543.962158203125,726.5147094726562,546.9487915039062
1,0002.jpg,0,726.7643432617188,320.2168884277344,738.699462890625,320.6982421875,738.800048828125,363.56170654296875,743.8795166015625,370.14483642578125,770.4238891601562,375.8497314453125,776.4912719726562,383.7884826660156,725.530029296875,411.7863464355469,732.7504272460938,413.94757080078125,746.3090209960938,479.00616455078125,743.7305908203125,480.96661376953125,743.6406860351562,543.84228515625,724.1305541992188,547.2323608398438
2,0003.jpg,0,728.106689453125,319.3948669433594,736.742919921875,319.49090576171875,742.6804809570312,361.6969909667969,743.2210083007812,369.09002685546875,772.8214111328125,367.04998779296875,776.8401489257812,378.14874267578125,726.958251953125,411.16033935546875,732.8753051757812,413.1160583496094,746.1282958984375,478.5163879394531,747.93115234375,479.98406982421875,739.2474365234375,543.7047119140625,730.746826171875,546.37890625
3,0004.jpg,0,729.6885375976562,318.3768310546875,735.881591796875,320.44024658203125,746.7415161132812,355.93511962890625,743.7813110351562,371.2452697753906,774.2525024414062,354.3721008300781,774.9710083007812,377.95367431640625,728.410888671875,410.486083984375,732.6093139648438,412.846435546875,747.7770385742188,478.076416015625,748.0220947265625,479.7608337402344,740.0076904296875,543.2412109375,730.1380615234375,545.8847045898438
4,0005.jpg,0,728.8150024414062,317.40643310546875,737.1876831054688,321.55291748046875,749.6553344726562,348.41351318359375,739.684814453125,372.43426513671875,779.4794921875,349.6555480957031,771.03076171875,387.14324951171875,732.0913696289062,409.1802062988281,736.2845458984375,412.0062561035156,755.5280151367188,476.5066833496094,746.3585205078125,478.92578125,754.0763549804688,540.9171142578125,720.0222778320312,546.211669921875
5,0006.jpg,0,734.20458984375,315.12860107421875,734.574462890625,321.63800048828125,764.6892700195312,337.35906982421875,740.8263549804688,374.3870849609375,787.6541137695312,324.9161682128906,770.8265380859375,387.4368896484375,736.5721435546875,407.6214294433594,735.919677734375,410.6102600097656,758.4934692382812,475.7225036621094,750.68212890625,477.37200927734375,753.7957153320312,540.5923461914062,721.537841796875,545.2553100585938
6,0007.jpg,0,735.1616821289062,312.58612060546875,736.0338745117188,322.5130615234375,767.859130859375,325.54644775390625,742.8726806640625,373.4648132324219,789.7083740234375,310.3949279785156,771.0496215820312,388.0213928222656,738.5204467773438,407.18310546875,737.4780883789062,411.1772766113281,761.6776123046875,475.92498779296875,749.6527099609375,478.86920166015625,758.7792358398438,539.6008911132812,717.83203125,545.9962158203125
7,0008.jpg,0,737.63330078125,309.6878356933594,733.5552368164062,324.2265930175781,771.890625,308.02874755859375,742.8358154296875,363.86224365234375,790.020263671875,282.2803955078125,773.0965576171875,382.91143798828125,740.5719604492188,403.80059814453125,736.6685791015625,410.4971008300781,762.854248046875,473.8962707519531,750.0391845703125,479.47198486328125,757.1952514648438,536.6223754882812,724.4695434570312,543.787109375
8,0009.jpg,0,737.637939453125,312.94293212890625,732.848388671875,327.4320373535156,763.5554809570312,303.37188720703125,743.9119873046875,368.17193603515625,777.9977416992188,272.37322998046875,767.8905639648438,377.35333251953125,745.5372924804688,410.0628356933594,739.8306884765625,415.4344177246094,770.3410034179688,478.9494934082031,750.4157104492188,483.2193908691406,761.0463256835938,539.7720336914062,718.9647216796875,546.74462890625
9,0010.jpg,0,740.998779296875,311.4791564941406,730.6233520507812,327.21710205078125,765.9095458984375,297.16668701171875,741.1460571289062,365.67950439453125,777.89453125,262.3160705566406,767.1254272460938,372.505859375,748.5371704101562,408.79266357421875,739.1251220703125,414.63946533203125,774.0623779296875,476.7661437988281,751.67626953125,481.5893249511719,760.974365234375,538.9683227539062,719.5948486328125,546.1768188476562
10,0011.jpg,0,742.832275390625,314.8267822265625,728.8068237304688,330.1385192871094,764.2896118164062,307.0206604003906,741.289306640625,361.9615478515625,773.4367065429688,279.7360534667969,766.0779418945312,356.77911376953125,746.8472900390625,411.7121276855469,734.6752319335938,418.43463134765625,779.7232055664062,476.62908935546875,754.0852661132812,484.0459899902344,760.266357421875,538.4287109375,716.3570556640625,547.4054565429688
11,0012.jpg,0,742.3012084960938,322.869873046875,726.9675903320312,332.29150390625,760.9182739257812,336.9109802246094,740.3905029296875,362.28021240234375,774.7318115234375,337.9555358886719,768.5655517578125,360.7642822265625,750.9862670898438,416.0179443359375,738.3074340820312,421.67401123046875,782.3441772460938,478.6379089355469,755.8806762695312,486.6809387207031,761.4979858398438,539.946533203125,717.4666748046875,549.7020874023438
12,0013.jpg,0,741.8276977539062,320.831787109375,729.072998046875,334.97314453125,757.8970947265625,316.9273376464844,745.328857421875,361.029052734375,762.7232055664062,297.8469543457031,765.5225830078125,351.48504638671875,751.605224609375,416.6677551269531,740.0036010742188,423.4273681640625,784.5341796875,479.82177734375,757.9555053710938,488.3035888671875,761.5634155273438,539.6546020507812,718.4170532226562,548.9983520507812
