frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,706.8452758789062,362.29058837890625,705.3471069335938,367.9071350097656,715.1095581054688,410.42791748046875,710.2081909179688,424.9583740234375,748.5527954101562,431.9368896484375,744.9130249023438,439.7207336425781,703.6445922851562,467.14398193359375,699.5556030273438,471.7764587402344,733.8143310546875,547.4713134765625,709.4603271484375,554.622314453125,742.6782836914062,621.4613647460938,682.9900512695312,632.6401977539062
1,0002.jpg,0,706.3687133789062,360.2486572265625,703.7608642578125,367.5801086425781,723.4462280273438,404.32568359375,704.668212890625,425.86505126953125,759.2780151367188,425.63079833984375,739.26171875,443.22503662109375,703.884033203125,465.6380310058594,699.5436401367188,470.9261779785156,734.152099609375,544.5284423828125,711.1710205078125,552.1179809570312,743.4927978515625,617.9259643554688,683.5070190429688,628.8619384765625
2,0003.jpg,0,706.4287109375,359.3602294921875,703.3195190429688,366.5102233886719,727.2659301757812,397.85272216796875,700.6386108398438,424.0227966308594,764.6776123046875,417.71099853515625,734.8311767578125,446.56634521484375,706.576416015625,464.6515808105469,702.0087280273438,469.6853942871094,734.92919921875,545.359619140625,712.9321899414062,551.4503784179688,746.6670532226562,619.1145629882812,683.385986328125,627.8750610351562
3,0004.jpg,0,710.3077392578125,360.32855224609375,702.2164916992188,366.32373046875,730.1884765625,395.96588134765625,693.2769165039062,425.696533203125,773.318115234375,405.1485595703125,727.8987426757812,450.3408508300781,713.1896362304688,466.4627990722656,706.4478149414062,470.8656005859375,733.8840942382812,545.3993530273438,715.1680908203125,550.6058959960938,741.3557739257812,616.811279296875,688.06494140625,626.598388671875
4,0005.jpg,0,713.7235717773438,358.5213623046875,700.7011108398438,367.2679138183594,737.5851440429688,385.55743408203125,690.6472778320312,425.12200927734375,778.5110473632812,389.8876037597656,723.0055541992188,449.19256591796875,715.6847534179688,466.42236328125,705.9207153320312,471.575439453125,737.6896362304688,544.74365234375,718.2205200195312,550.2604370117188,742.4082641601562,616.9409790039062,687.1827392578125,626.2965087890625
5,0006.jpg,0,715.1951904296875,355.60479736328125,697.3954467773438,366.12158203125,744.3282470703125,375.5220031738281,688.5145874023438,421.2942199707031,778.5562133789062,360.0135192871094,719.6449584960938,443.2734680175781,721.3899536132812,461.9015197753906,708.9630737304688,467.9546813964844,737.8092651367188,545.542236328125,720.427001953125,550.3998413085938,735.84716796875,622.14990234375,691.312255859375,628.8045654296875
6,0007.jpg,0,718.6132202148438,355.31756591796875,701.2427978515625,367.99517822265625,747.82421875,357.470458984375,687.1044921875,421.2186279296875,778.5051879882812,332.8890075683594,712.3319702148438,443.55908203125,719.7212524414062,467.1723327636719,707.2401733398438,472.07012939453125,740.8055419921875,547.62841796875,721.3939208984375,549.7997436523438,742.04296875,621.0978393554688,686.3367919921875,627.6078491210938
7,0008.jpg,0,721.6845092773438,350.1302185058594,697.5285034179688,367.8049621582031,753.9240112304688,346.6229248046875,686.2030029296875,415.2366027832031,778.4461669921875,319.01171875,712.1316528320312,437.9261779785156,725.2825927734375,460.4908142089844,708.106689453125,468.57086181640625,746.8629760742188,541.6133422851562,722.8931274414062,548.4371948242188,739.4053344726562,619.64794921875,689.576904296875,627.6119384765625
8,0009.jpg,0,727.2788696289062,346.88677978515625,693.982177734375,369.52471923828125,755.8321533203125,333.3402099609375,685.6270751953125,409.1101989746094,769.234130859375,302.5880432128906,709.783203125,434.233154296875,728.1870727539062,460.832763671875,707.8619384765625,471.35174560546875,737.8563842773438,542.264404296875,727.7576293945312,551.6036987304688,714.7900390625,619.5352172851562,700.8724975585938,627.5543823242188
9,0010.jpg,0,721.9386596679688,350.53369140625,698.6109008789062,373.3504638671875,744.996337890625,325.9071044921875,689.5053100585938,413.9389343261719,760.162841796875,292.37969970703125,700.56298828125,431.5358581542969,734.101318359375,466.08978271484375,715.7821655273438,474.72857666015625,762.831298828125,541.034912109375,728.924560546875,547.9287719726562,747.6570434570312,615.3423461914062,688.6058959960938,621.80615234375
10,0011.jpg,0,717.8211059570312,354.0401611328125,697.1744995117188,377.81988525390625,745.8966064453125,318.90399169921875,689.4326171875,415.6288757324219,754.4883422851562,277.14471435546875,699.4813232421875,432.27764892578125,733.0833129882812,468.46954345703125,723.0606079101562,476.8721618652344,741.1889038085938,543.357666015625,755.9891357421875,547.7235107421875,705.2599487304688,615.4116821289062,729.562744140625,616.3020629882812
11,0012.jpg,0,717.0669555664062,355.7875061035156,696.9020385742188,380.47857666015625,743.0309448242188,312.8729553222656,689.511474609375,415.970947265625,747.945068359375,261.982421875,695.740966796875,427.71038818359375,734.8717651367188,470.8800964355469,727.1655883789062,479.4123840332031,737.7972412109375,546.0523071289062,769.0816650390625,549.4075317382812,693.2849731445312,619.86279296875,746.715087890625,618.0623168945312
12,0013.jpg,0,716.7963256835938,354.8476867675781,698.3236083984375,385.727294921875,735.5656127929688,306.83502197265625,688.9544677734375,421.2166442871094,742.9192504882812,254.02386474609375,696.2603149414062,422.66632080078125,741.6263427734375,470.3966064453125,726.2600708007812,481.9824523925781,768.0960083007812,543.9105224609375,738.8489990234375,553.3327026367188,746.655029296875,613.86083984375,693.523681640625,619.1447143554688
13,0014.jpg,0,718.6631469726562,356.3129577636719,697.3165893554688,390.2586975097656,730.9989013671875,307.44891357421875,689.8834838867188,427.9543151855469,735.4384155273438,253.65228271484375,698.2261962890625,422.91796875,745.0711669921875,471.5709533691406,726.8760375976562,484.65972900390625,775.4613037109375,543.299072265625,741.757080078125,554.8902587890625,751.4795532226562,611.50634765625,694.35205078125,617.23486328125
14,0015.jpg,0,721.7280883789062,357.04705810546875,701.5484008789062,395.0027770996094,727.6907348632812,305.05499267578125,689.592041015625,433.6680908203125,727.0534057617188,252.97613525390625,695.087890625,423.55450439453125,749.2169799804688,472.5409851074219,731.1027221679688,487.041259765625,780.4323120117188,542.8446655273438,745.52001953125,556.0374755859375,757.35791015625,611.8169555664062,694.1871337890625,617.015625
15,0016.jpg,0,722.057373046875,356.0054931640625,702.617919921875,396.29608154296875,725.6339721679688,304.3849792480469,688.0804443359375,437.1059265136719,723.258544921875,252.23114013671875,692.4146118164062,422.08966064453125,751.0017700195312,472.78277587890625,733.2269897460938,488.51116943359375,785.240478515625,542.1292114257812,751.59423828125,556.8058471679688,762.079345703125,611.2425537109375,697.3909301757812,616.831787109375
16,0017.jpg,0,725.9254760742188,357.9897766113281,701.0262451171875,398.2263488769531,727.9703979492188,309.92864990234375,688.689453125,440.15850830078125,720.418212890625,261.1268310546875,695.0635986328125,429.5244140625,755.478515625,473.7841491699219,734.0296630859375,489.503173828125,788.245849609375,544.3936157226562,751.509521484375,558.9561767578125,762.5014038085938,612.9859619140625,698.2002563476562,618.7474365234375
17,0018.jpg,0,728.5646362304688,355.58880615234375,705.0255737304688,404.37469482421875,725.8448486328125,294.00604248046875,692.4978637695312,447.2282409667969,711.6177978515625,245.2486572265625,705.2791748046875,431.2465515136719,757.8678588867188,477.2337951660156,737.12060546875,495.9498291015625,793.3441772460938,547.1173095703125,755.8756103515625,566.2495727539062,764.3195190429688,614.4901123046875,698.6676025390625,625.5982666015625
18,0019.jpg,0,733.947998046875,358.8753356933594,705.6541748046875,408.3052978515625,729.56005859375,297.429931640625,693.506591796875,449.1248779296875,705.9375610351562,243.49893188476562,704.703125,428.89300537109375,761.8759155273438,477.5906066894531,738.2396240234375,496.185302734375,794.3310546875,546.2191162109375,755.6452026367188,565.2669677734375,761.5718994140625,610.2900390625,700.7444458007812,622.0849609375
19,0020.jpg,0,734.9388427734375,360.24383544921875,709.2171630859375,409.2728271484375,727.6353759765625,298.09478759765625,694.88330078125,447.6474609375,705.91845703125,244.09030151367188,697.0518798828125,427.932373046875,762.7896118164062,478.2833557128906,740.8341064453125,496.5643310546875,794.2326049804688,546.4944458007812,755.3684692382812,565.4193115234375,763.177490234375,611.415283203125,700.0789184570312,624.0465087890625
20,0021.jpg,0,740.7023315429688,363.36309814453125,711.9891967773438,408.7833557128906,730.4337768554688,306.0098876953125,695.7685546875,449.6104431152344,707.2447509765625,244.57305908203125,702.1633911132812,427.9498291015625,766.292724609375,480.7536315917969,742.1254272460938,497.532958984375,796.267333984375,549.1298828125,756.115478515625,565.3063354492188,764.918701171875,613.7565307617188,700.4258422851562,623.5166625976562
21,0022.jpg,0,749.8603515625,366.4351806640625,719.4281616210938,404.4113464355469,726.7628173828125,315.5192565917969,709.328125,438.2364807128906,699.0988159179688,252.81524658203125,704.9205322265625,414.35302734375,779.5731811523438,480.56988525390625,753.0396728515625,493.99066162109375,803.9337768554688,550.5548095703125,759.7432861328125,563.0971069335938,765.003662109375,610.8856811523438,704.8004760742188,620.5971069335938
22,0023.jpg,0,749.0919799804688,370.5357666015625,723.9942016601562,404.60003662109375,726.430908203125,318.4331970214844,710.2811889648438,425.7981872558594,701.7691040039062,255.61032104492188,694.8319091796875,391.3926086425781,778.2951049804688,481.930419921875,755.4852905273438,493.82440185546875,803.2005004882812,549.9520263671875,761.5100708007812,561.6477661132812,765.8178100585938,608.8468017578125,705.8565063476562,618.5120849609375
23,0024.jpg,0,748.74560546875,369.6189270019531,724.8992919921875,400.7366943359375,733.9508056640625,315.5428466796875,716.3477783203125,400.3037109375,710.617431640625,262.2200927734375,702.64892578125,348.74749755859375,781.7608032226562,477.75274658203125,759.7463989257812,489.21868896484375,804.6141967773438,547.8280029296875,761.863037109375,561.06787109375,769.3458251953125,606.6359252929688,708.16845703125,616.97119140625
24,0025.jpg,0,737.1441040039062,386.45819091796875,732.5311279296875,391.10333251953125,722.9932861328125,345.6759033203125,731.7485961914062,353.0922546386719,721.8576049804688,290.9899597167969,726.607666015625,288.0585632324219,772.310302734375,481.2239685058594,762.7682495117188,484.70526123046875,801.0542602539062,548.4965209960938,767.6144409179688,554.4818725585938,769.4962768554688,605.906494140625,712.5328979492188,617.7293090820312
25,0026.jpg,0,741.2437744140625,370.49090576171875,736.7197875976562,391.5534973144531,741.8279418945312,318.4823913574219,724.2824096679688,367.8887634277344,733.7394409179688,270.3936767578125,725.8616333007812,304.83258056640625,765.913818359375,468.0315246582031,759.4993896484375,477.6243896484375,790.045654296875,537.6654052734375,774.7947387695312,549.6895141601562,766.4169311523438,602.3987426757812,725.7747802734375,610.5335083007812
26,0027.jpg,0,732.5466918945312,360.2891540527344,734.9638671875,387.00262451171875,738.8897094726562,314.24017333984375,723.4411010742188,394.5613708496094,746.3775634765625,260.466796875,716.6537475585938,345.9095764160156,767.753173828125,459.81097412109375,766.7487182617188,471.39593505859375,789.5326538085938,529.6259765625,781.3770751953125,542.4522094726562,766.0778198242188,598.662109375,730.25732421875,606.6532592773438
27,0028.jpg,0,744.66064453125,338.7397766113281,728.87890625,384.99462890625,759.4292602539062,295.54656982421875,714.3762817382812,408.594482421875,761.53515625,274.28997802734375,715.1973876953125,378.62591552734375,781.8222045898438,435.80841064453125,773.2002563476562,456.2899169921875,774.575927734375,515.8509521484375,779.5947875976562,539.780517578125,757.6500854492188,599.4625244140625,754.1041259765625,607.7337646484375
28,0029.jpg,0,747.3682250976562,337.6475830078125,734.8424682617188,368.080322265625,745.4058837890625,326.96649169921875,723.4632568359375,394.7008056640625,734.1920776367188,309.65228271484375,714.7754516601562,375.06585693359375,778.0267944335938,431.64794921875,771.8954467773438,445.06561279296875,770.543212890625,514.8671875,777.3541870117188,530.3990478515625,761.6825561523438,595.8143310546875,763.5657348632812,606.1054077148438
29,0030.jpg,0,752.7366333007812,336.7190856933594,729.2063598632812,349.8389892578125,742.733642578125,349.7386169433594,728.0128784179688,374.14111328125,710.0226440429688,349.3347473144531,712.1174926757812,359.0590515136719,787.2157592773438,426.7643127441406,771.7879028320312,433.36138916015625,776.3757934570312,507.31658935546875,772.26416015625,515.7578735351562,766.44384765625,590.9859008789062,766.3547973632812,592.7799682617188
30,0031.jpg,0,750.5618286132812,332.0836181640625,735.452392578125,345.3533020019531,731.6781005859375,317.3177185058594,717.1041259765625,343.67498779296875,715.64013671875,302.3292236328125,711.8268432617188,312.5829772949219,790.1600952148438,418.36981201171875,780.2554321289062,425.6629638671875,771.2810668945312,501.44732666015625,772.0819702148438,511.34661865234375,778.4246826171875,592.3795776367188,776.8952026367188,597.3819580078125
