frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,494.946044921875,348.0489501953125,478.463623046875,351.7376708984375,505.56658935546875,397.73211669921875,476.98516845703125,408.75433349609375,541.2937622070312,422.85125732421875,524.4757080078125,425.33489990234375,494.28131103515625,462.6424560546875,478.915283203125,467.2572021484375,520.6371459960938,553.4830322265625,483.1138000488281,560.490478515625,526.6700439453125,635.7987670898438,451.7033386230469,645.4971923828125
1,0002.jpg,0,499.79962158203125,350.7918701171875,476.5342712402344,350.8717041015625,523.6348876953125,403.28851318359375,470.6795959472656,408.5816650390625,567.0764770507812,424.54266357421875,514.1302490234375,423.4034729003906,496.514404296875,464.21295166015625,477.62481689453125,467.5242919921875,522.8037109375,553.4865112304688,484.14166259765625,559.0299072265625,529.0964965820312,634.6749877929688,452.5928955078125,643.2832641601562
2,0003.jpg,0,498.96209716796875,350.43646240234375,476.4206848144531,350.12158203125,524.363525390625,398.2034912109375,467.9667053222656,408.42510986328125,570.38720703125,410.8002624511719,507.8892517089844,425.75323486328125,495.6322937011719,462.98779296875,477.2530822753906,466.12103271484375,525.8740234375,551.923095703125,486.8904113769531,556.6536254882812,531.8261108398438,632.8501586914062,453.61785888671875,641.9694213867188
3,0004.jpg,0,491.0536804199219,351.1617431640625,473.7930908203125,348.7357482910156,519.8956298828125,393.718505859375,458.46881103515625,405.7864074707031,576.75,400.6949157714844,499.5219421386719,422.54364013671875,496.3970031738281,461.2516174316406,482.2796630859375,463.5997009277344,523.3681640625,550.5536499023438,488.94671630859375,554.3458862304688,530.3329467773438,629.4237670898438,459.7962646484375,637.9686279296875
4,0005.jpg,0,492.8634338378906,350.8609313964844,471.3184814453125,348.1213073730469,526.5176391601562,383.6246032714844,450.95404052734375,399.635498046875,579.67431640625,379.9339599609375,491.5985412597656,415.68743896484375,499.5264587402344,461.2678527832031,482.96142578125,463.3591613769531,529.5584716796875,550.5274658203125,495.8295593261719,552.930419921875,529.9990234375,629.1660766601562,458.82440185546875,637.1556396484375
5,0006.jpg,0,492.28228759765625,347.17010498046875,471.1719970703125,346.3738098144531,497.54339599609375,392.18609619140625,453.76416015625,394.75360107421875,522.6847534179688,413.8600769042969,491.9852600097656,412.6015625,502.4119567871094,463.1220703125,484.54364013671875,466.4469909667969,531.3543701171875,555.0316162109375,494.5493469238281,559.170654296875,531.6234741210938,636.2874755859375,454.83648681640625,644.2283935546875
6,0007.jpg,0,505.9600524902344,343.73040771484375,472.0849304199219,349.95294189453125,532.9755859375,355.42987060546875,452.53076171875,393.1600341796875,553.7636108398438,338.81903076171875,490.4839782714844,401.6453857421875,509.4538879394531,464.59368896484375,483.783935546875,468.9115905761719,537.636962890625,557.2647705078125,498.6965637207031,559.9742431640625,531.3999633789062,636.461669921875,453.81463623046875,642.0224609375
7,0008.jpg,0,509.3677978515625,344.8856201171875,472.20721435546875,352.9391174316406,537.8825073242188,347.39190673828125,453.54644775390625,395.1474609375,556.6102905273438,313.2986145019531,491.74810791015625,397.2252197265625,513.9799194335938,467.7177734375,485.5937194824219,472.589599609375,543.926513671875,559.6596069335938,500.35736083984375,562.8079833984375,534.0988159179688,635.5564575195312,454.6064758300781,642.6802368164062
8,0009.jpg,0,505.8973388671875,349.5074157714844,468.71270751953125,361.6795654296875,541.3482055664062,331.4614562988281,446.29937744140625,398.6411437988281,555.0069580078125,292.618408203125,487.23406982421875,408.3908996582031,517.4635009765625,469.34478759765625,489.0024108886719,475.3834533691406,552.2125854492188,554.8187255859375,507.1758728027344,558.5385131835938,535.4147338867188,632.888427734375,452.79949951171875,638.227783203125
9,0010.jpg,0,514.9113159179688,344.24298095703125,470.45849609375,361.9476623535156,539.1314697265625,322.6439208984375,453.289306640625,397.1261291503906,546.049072265625,271.39825439453125,482.1918029785156,390.6627197265625,524.4208984375,469.1973876953125,491.27301025390625,477.3670654296875,558.1018676757812,556.5980224609375,507.9466247558594,563.9410400390625,534.659912109375,636.3204345703125,458.3157653808594,646.6893310546875
