frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,679.3291625976562,332.3428955078125,691.073486328125,334.9020690917969,689.7210083007812,375.9304504394531,694.73779296875,380.8688049316406,730.986572265625,396.9793395996094,727.569091796875,397.8091125488281,679.8488159179688,422.90997314453125,687.7713623046875,425.5960693359375,688.1755981445312,493.119873046875,694.7005615234375,495.03448486328125,681.9315185546875,560.0559692382812,684.1795654296875,566.0914306640625
1,0002.jpg,0,676.15087890625,333.19293212890625,688.5428466796875,331.77606201171875,687.4860229492188,378.6116638183594,696.3462524414062,379.806640625,724.1885986328125,393.77569580078125,728.3639526367188,393.4062194824219,680.5344848632812,425.1620788574219,686.7053833007812,426.6475524902344,699.2852783203125,495.875732421875,687.8016967773438,498.98846435546875,702.3518676757812,564.0643310546875,667.6776123046875,572.1134033203125
2,0003.jpg,0,677.476318359375,332.42449951171875,686.1049194335938,331.482177734375,691.0614013671875,375.6640319824219,695.9441528320312,378.6440124511719,727.9859008789062,390.7879333496094,730.4901123046875,392.8540344238281,682.3825073242188,424.5423583984375,686.0217895507812,426.1883850097656,699.613037109375,495.43280029296875,686.6128540039062,498.75482177734375,702.8218383789062,564.1531982421875,668.0817260742188,572.0894165039062
3,0004.jpg,0,678.6817626953125,331.4512023925781,684.1510009765625,331.6758728027344,692.9700317382812,370.8806457519531,696.123046875,378.52801513671875,727.9212646484375,382.4573059082031,730.4922485351562,392.7457275390625,683.7352905273438,423.4717102050781,685.2427368164062,425.4932861328125,701.0948486328125,494.602783203125,687.7427978515625,498.25689697265625,702.5701293945312,564.2578125,668.4794311523438,572.55859375
4,0005.jpg,0,676.5604858398438,332.44500732421875,683.959716796875,332.31842041015625,690.0834350585938,371.75360107421875,697.0624389648438,379.6672668457031,725.2068481445312,384.51806640625,729.1643676757812,397.4042663574219,682.7903442382812,424.02801513671875,685.504150390625,425.9668884277344,702.4414672851562,494.391845703125,689.6571044921875,497.773193359375,702.6021118164062,564.0098876953125,668.9541015625,572.1993408203125
5,0006.jpg,0,674.0864868164062,332.0670166015625,683.3170776367188,332.63232421875,683.7271728515625,372.3346252441406,697.7717895507812,379.0876159667969,719.1699829101562,382.3233642578125,730.6691284179688,390.5211181640625,683.1073608398438,423.7713928222656,686.3818359375,426.378662109375,707.0245971679688,492.3162841796875,690.5911254882812,497.23663330078125,706.3255004882812,562.0743408203125,669.18408203125,572.3809204101562
6,0007.jpg,0,675.9418334960938,332.56396484375,682.3713989257812,333.5924987792969,689.5948486328125,366.39630126953125,697.87060546875,375.9888000488281,723.892578125,365.5226135253906,731.7623291015625,379.9873352050781,684.9791259765625,423.8309020996094,686.286865234375,426.49432373046875,709.5758056640625,492.2530517578125,692.8782348632812,496.7625732421875,707.0135498046875,562.1464233398438,668.2994995117188,571.967041015625
7,0008.jpg,0,676.7361450195312,334.4154052734375,681.9567260742188,333.39581298828125,691.2461547851562,373.3392333984375,696.2468872070312,374.5435485839844,728.3604125976562,379.1582946777344,731.5958251953125,377.18182373046875,686.479736328125,424.69915771484375,687.1073608398438,427.0256652832031,713.6730346679688,491.43145751953125,695.8973999023438,496.27923583984375,711.0400390625,561.4747924804688,669.6224365234375,572.120849609375
8,0009.jpg,0,680.7705078125,333.6210021972656,680.9204711914062,332.9044189453125,696.8421630859375,373.74102783203125,694.6553955078125,372.7362060546875,731.4673461914062,379.7886047363281,729.4249267578125,369.0161437988281,691.4922485351562,426.398681640625,688.3455200195312,429.10198974609375,719.0125122070312,492.80072021484375,696.0302124023438,498.58416748046875,714.608642578125,561.7147827148438,668.7728271484375,572.1514892578125
9,0010.jpg,0,683.39990234375,333.6247253417969,679.9877319335938,333.2081604003906,698.1670532226562,375.15313720703125,695.4022827148438,373.827880859375,731.2996215820312,381.1990966796875,729.2042846679688,368.7771301269531,694.1182861328125,426.6801452636719,688.5104370117188,429.54345703125,721.1964111328125,493.2293701171875,697.0167846679688,499.33660888671875,715.3070068359375,561.9356689453125,668.4539184570312,572.6629638671875
10,0011.jpg,0,689.2691650390625,328.209228515625,682.6672973632812,333.00897216796875,698.7891845703125,350.4090881347656,699.0652465820312,375.52239990234375,729.8988647460938,333.82879638671875,735.4085693359375,372.71435546875,698.0196533203125,426.202880859375,689.9735717773438,430.03125,724.6383666992188,495.32696533203125,699.7537231445312,500.311279296875,715.466552734375,563.5294189453125,669.9328002929688,572.2442016601562
11,0012.jpg,0,692.5216064453125,332.636474609375,681.828125,332.704345703125,705.1398315429688,370.6317138671875,694.67138671875,376.41729736328125,743.0404052734375,370.66827392578125,741.7459716796875,370.58306884765625,700.738525390625,427.7464599609375,689.93359375,431.012451171875,730.5498046875,490.6124267578125,703.7608032226562,494.10858154296875,717.7831420898438,560.84814453125,671.8290405273438,567.0994873046875
12,0013.jpg,0,686.080322265625,324.060302734375,682.7138671875,339.3038024902344,693.1185302734375,313.1614990234375,707.3005981445312,376.4146423339844,717.3933715820312,274.4591369628906,740.9951782226562,370.3851623535156,702.5771484375,424.1801452636719,695.3131713867188,430.95623779296875,729.6294555664062,495.60174560546875,704.3069458007812,502.6529541015625,714.745849609375,562.8534545898438,671.1281127929688,571.4789428710938
13,0014.jpg,0,688.0498657226562,325.0994567871094,681.6050415039062,339.23388671875,691.8521118164062,302.49005126953125,708.3812866210938,363.78558349609375,707.3079223632812,266.8485107421875,739.581298828125,363.24591064453125,706.93896484375,423.86798095703125,697.1871337890625,429.6745300292969,733.232421875,495.4403076171875,706.979736328125,500.38641357421875,716.1532592773438,563.3345336914062,672.1046142578125,569.58447265625
14,0015.jpg,0,687.41455078125,326.8876953125,681.8343505859375,339.75091552734375,689.1064453125,298.51641845703125,709.9759521484375,358.6863098144531,700.640625,260.5009460449219,739.3135375976562,360.6387939453125,708.2333374023438,424.2098388671875,698.732666015625,429.3026428222656,735.6895141601562,495.024169921875,709.6508178710938,498.7022705078125,716.8652954101562,562.469482421875,674.1959228515625,568.3658447265625
15,0016.jpg,0,688.2825317382812,326.4755554199219,681.426513671875,342.2298583984375,687.859375,296.0439453125,706.0435180664062,365.66693115234375,695.323974609375,257.41448974609375,736.6937866210938,367.65081787109375,711.51416015625,425.6285095214844,701.0027465820312,431.7405090332031,740.236572265625,495.40826416015625,714.0374755859375,499.58270263671875,718.157958984375,561.9256591796875,674.0889892578125,566.70556640625
16,0017.jpg,0,690.9301147460938,327.22833251953125,679.6760864257812,340.4239501953125,683.6337890625,295.1654357910156,694.8515625,349.53564453125,686.2631225585938,260.4221496582031,716.3197631835938,342.1546936035156,717.186279296875,425.9493408203125,704.0618286132812,431.3228759765625,743.5925903320312,495.83544921875,716.8737182617188,499.3505859375,721.0936889648438,560.3451538085938,675.80419921875,564.5354614257812
17,0018.jpg,0,692.045166015625,326.97613525390625,679.3486938476562,344.5727844238281,679.30908203125,289.04937744140625,691.413330078125,351.5013427734375,677.4673461914062,252.631103515625,708.1390991210938,336.4122314453125,722.0816040039062,426.3198547363281,707.5449829101562,433.30670166015625,746.31884765625,496.12677001953125,718.019287109375,501.5833740234375,723.5391845703125,558.7001953125,676.0186767578125,562.9453125
