frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,654.1329956054688,309.9844665527344,658.4325561523438,311.0650634765625,665.3005981445312,340.826904296875,665.5394287109375,343.34808349609375,690.24755859375,355.4860534667969,688.3194580078125,356.2607727050781,652.6888427734375,370.7091979980469,655.715576171875,372.4597473144531,662.1427001953125,418.9410705566406,665.5357666015625,420.17059326171875,655.9490966796875,464.8790588378906,655.7785034179688,468.749267578125
1,0002.jpg,0,653.2205200195312,309.55389404296875,657.9021606445312,310.34906005859375,663.1700439453125,341.3705749511719,662.948486328125,343.8366394042969,687.6236572265625,357.8743896484375,684.8684692382812,359.0931701660156,653.4576416015625,370.38055419921875,656.7658081054688,372.05670166015625,662.7057495117188,419.0990295410156,665.7978515625,420.311279296875,656.4968872070312,465.5696105957031,655.9964599609375,469.30657958984375
2,0003.jpg,0,650.7457885742188,309.1040954589844,658.7884521484375,310.4228210449219,657.7230834960938,339.955810546875,660.7371826171875,343.3047790527344,683.2459716796875,357.85455322265625,681.7102661132812,361.29833984375,653.2537841796875,369.0610046386719,658.940185546875,370.8148498535156,661.0272216796875,419.712890625,665.3966674804688,420.8440246582031,654.5015869140625,464.0245361328125,656.5368041992188,467.9132995605469
3,0004.jpg,0,650.9401245117188,309.6412658691406,655.7799072265625,310.04522705078125,662.5927124023438,341.1938781738281,660.888916015625,343.47174072265625,688.5689086914062,357.0953063964844,683.5741577148438,358.2740783691406,653.3230590820312,370.626953125,656.8397216796875,372.1960144042969,662.9736328125,418.8965148925781,664.7041015625,419.9683837890625,658.0213012695312,464.7737121582031,655.677490234375,468.109619140625
4,0005.jpg,0,654.858154296875,308.2121276855469,655.0805053710938,309.9096374511719,668.6467895507812,336.953369140625,658.7600708007812,343.36895751953125,693.1907348632812,353.366943359375,679.2134399414062,361.9147644042969,657.6802368164062,368.84967041015625,658.3019409179688,370.8692932128906,666.2392578125,418.2976989746094,665.4749145507812,419.8707580566406,658.843994140625,463.19378662109375,655.6717529296875,467.3491516113281
5,0006.jpg,0,655.7799682617188,307.3423156738281,652.8675537109375,309.8125915527344,671.7409057617188,333.2049865722656,655.7171630859375,342.7938232421875,692.5977783203125,346.07501220703125,672.6356201171875,362.5978698730469,658.4978637695312,368.6474914550781,657.1771240234375,370.97125244140625,667.1721801757812,418.19805908203125,664.0908813476562,420.0291442871094,659.7761840820312,463.36474609375,654.3973388671875,467.92059326171875
6,0007.jpg,0,653.766845703125,306.075439453125,652.7423095703125,308.474365234375,669.8139038085938,330.99365234375,657.94091796875,340.2434387207031,688.5902099609375,337.6822509765625,674.7938232421875,354.40802001953125,657.044921875,367.902587890625,656.7357788085938,370.1806945800781,666.115234375,418.43499755859375,663.623779296875,420.193603515625,659.6716918945312,464.080810546875,654.1949462890625,468.5034484863281
7,0008.jpg,0,652.0053100585938,305.52581787109375,653.7863159179688,308.5118408203125,666.1981201171875,330.5545959472656,657.2590942382812,340.3187561035156,685.8265380859375,343.06622314453125,671.8434448242188,358.8528747558594,655.464111328125,367.8309631347656,657.0195922851562,370.2737121582031,666.8153686523438,417.6291198730469,665.550048828125,419.5726318359375,660.9395751953125,464.73095703125,656.4823608398438,469.3846435546875
8,0009.jpg,0,652.2064819335938,303.8054504394531,655.8602905273438,307.2029113769531,675.87890625,321.4678955078125,671.440185546875,331.6889343261719,697.3675537109375,316.6343688964844,691.9434814453125,330.2793884277344,655.4962158203125,366.83502197265625,657.4176025390625,369.64630126953125,671.3749389648438,415.14752197265625,667.3367919921875,417.54241943359375,665.2498168945312,462.1357421875,653.9404296875,467.1904602050781
9,0010.jpg,0,654.75732421875,307.64581298828125,654.7875366210938,306.428466796875,674.8681640625,314.4865417480469,678.7376098632812,315.1914978027344,694.2811279296875,298.2056884765625,696.852294921875,300.1228942871094,660.7734375,368.5292053222656,657.9617919921875,368.5475158691406,686.3902587890625,418.8857421875,669.7508544921875,418.59625244140625,671.8334350585938,464.5223388671875,642.8201904296875,465.7297058105469
10,0011.jpg,0,655.42578125,307.2342834472656,655.0441284179688,308.760986328125,678.4949951171875,309.0013732910156,665.2965698242188,316.0450744628906,697.6760864257812,279.6619873046875,680.4876708984375,290.6748046875,664.5037231445312,367.982421875,663.50244140625,370.4148254394531,679.2493286132812,414.7016906738281,673.4188842773438,416.7114562988281,669.1552734375,461.67681884765625,654.0142822265625,465.2157287597656
11,0012.jpg,0,656.0851440429688,307.9062805175781,654.2277221679688,310.7682189941406,674.4169311523438,308.22998046875,659.9627685546875,318.8363037109375,692.0645751953125,274.0976867675781,673.436767578125,292.72698974609375,667.109375,369.4609375,665.1658935546875,372.703857421875,680.0298461914062,417.35260009765625,675.2027587890625,419.9110107421875,668.9283447265625,463.2907409667969,655.7877807617188,468.1000671386719
12,0013.jpg,0,655.7495727539062,307.4442138671875,653.7254638671875,308.5042419433594,666.4534301757812,325.0560302734375,655.6693115234375,331.9121398925781,682.7034912109375,311.7761535644531,670.85791015625,324.83441162109375,668.34814453125,369.4382019042969,666.603759765625,371.9239501953125,679.6281127929688,416.6912536621094,676.6639404296875,418.6374816894531,665.2302856445312,462.12078857421875,656.23193359375,465.83892822265625
13,0014.jpg,0,655.427978515625,309.6611633300781,655.9456176757812,310.1940612792969,665.8380737304688,307.44366455078125,662.5482177734375,310.6930847167969,679.617919921875,267.51141357421875,678.7728271484375,270.845458984375,671.1802368164062,370.94683837890625,670.6206665039062,373.2032470703125,680.01806640625,418.5587463378906,680.8864135742188,420.1607360839844,664.4913940429688,462.6292419433594,659.32275390625,465.41741943359375
14,0015.jpg,0,661.1596069335938,309.8736877441406,654.0946044921875,314.5125732421875,668.8331298828125,289.7069091796875,664.0645751953125,303.3360595703125,668.1687622070312,251.25393676757812,668.3182373046875,267.636962890625,676.6118774414062,373.3994445800781,669.1044921875,375.2359313964844,693.4964599609375,423.43310546875,676.6478881835938,424.3604431152344,675.1029052734375,463.38043212890625,646.7664794921875,464.439208984375
15,0016.jpg,0,665.5592041015625,308.2634582519531,650.3057861328125,311.6280517578125,667.5518798828125,301.259521484375,654.657470703125,304.92413330078125,675.204345703125,276.73858642578125,671.8465576171875,272.4311218261719,685.0857543945312,368.9952392578125,672.7870483398438,372.1424865722656,694.6517944335938,419.29571533203125,678.6878662109375,421.67578125,681.572265625,461.6514587402344,657.1486206054688,464.4751892089844
16,0017.jpg,0,661.813720703125,311.760498046875,652.679443359375,315.3206787109375,662.427001953125,289.31396484375,658.3353271484375,297.2156066894531,656.6157836914062,252.67489624023438,658.1157836914062,260.1727600097656,679.3467407226562,373.6280822753906,671.373779296875,375.2375183105469,693.0714111328125,423.78985595703125,681.9639892578125,424.44561767578125,670.9461669921875,463.6891174316406,655.7669677734375,464.3573913574219
17,0018.jpg,0,661.1774291992188,315.58782958984375,653.9400634765625,315.8814697265625,658.3469848632812,287.584716796875,655.7225341796875,286.1732482910156,653.0684814453125,248.53726196289062,653.1016845703125,247.989501953125,679.96826171875,376.8568115234375,673.400634765625,377.400634765625,693.0934448242188,426.8842468261719,685.5706176757812,426.183349609375,670.8644409179688,463.7025146484375,658.455810546875,464.91259765625
18,0019.jpg,0,664.320556640625,318.18939208984375,656.1676025390625,320.02630615234375,658.3104248046875,291.9976806640625,657.7254638671875,294.4007568359375,648.16943359375,251.0694580078125,650.9915161132812,253.8427734375,683.4805297851562,379.94219970703125,675.2979125976562,380.882568359375,698.2579956054688,428.255859375,684.6453857421875,428.2777099609375,675.4384765625,463.2710266113281,653.8412475585938,464.79486083984375
19,0020.jpg,0,666.7449951171875,319.5494384765625,659.006591796875,326.24871826171875,661.3759155273438,297.82501220703125,660.7930297851562,314.51324462890625,642.9031372070312,261.98681640625,654.7576904296875,278.7227783203125,685.5726928710938,381.71844482421875,677.2952270507812,384.20611572265625,702.055908203125,428.47601318359375,686.4833984375,430.26531982421875,677.2595825195312,462.4530029296875,652.440185546875,463.662109375
20,0021.jpg,0,668.1651611328125,316.2413024902344,658.8788452148438,329.792236328125,665.9263916015625,302.683837890625,663.653564453125,342.6118469238281,648.3042602539062,273.02508544921875,667.3397827148438,321.9644775390625,686.4885864257812,380.0777587890625,677.6328125,385.2297058105469,704.886474609375,425.2454528808594,690.35009765625,429.94964599609375,677.88720703125,460.67559814453125,656.1814575195312,463.8605041503906
21,0022.jpg,0,672.3500366210938,322.6332092285156,664.8189697265625,333.55029296875,664.8486328125,304.94122314453125,663.9777221679688,333.676025390625,642.8807373046875,271.82196044921875,659.3900146484375,302.9486083984375,687.4390258789062,381.6138916015625,679.278076171875,386.0519104003906,707.95654296875,427.34515380859375,694.3927001953125,432.18402099609375,678.0592651367188,459.5163879394531,656.2265625,463.9533386230469
22,0023.jpg,0,671.9367065429688,324.1819763183594,665.2675170898438,333.75006103515625,661.0942993164062,302.8532409667969,663.2590942382812,326.45965576171875,638.0304565429688,269.8636474609375,655.1021728515625,294.5462951660156,689.0573120117188,382.9552001953125,681.2409057617188,386.81036376953125,707.4974975585938,428.0696716308594,692.2073974609375,432.452880859375,681.7265014648438,460.36865234375,656.2156372070312,465.12005615234375
23,0024.jpg,0,673.7694702148438,325.78546142578125,667.2174682617188,331.5611572265625,659.0341186523438,301.98077392578125,659.3455200195312,317.3116455078125,635.77783203125,266.38385009765625,646.2071533203125,286.0592346191406,689.4617919921875,383.4638366699219,681.9715576171875,386.1861877441406,707.294189453125,428.55511474609375,692.2344360351562,432.00543212890625,685.4727172851562,461.1512451171875,662.0057983398438,465.8993835449219
24,0025.jpg,0,678.804443359375,326.091796875,671.213623046875,335.0804443359375,665.3727416992188,298.412841796875,662.005615234375,318.0037841796875,640.6987915039062,266.32000732421875,653.0419921875,289.06597900390625,689.4658203125,383.5383605957031,681.4732666015625,387.62335205078125,712.408203125,428.5091247558594,699.2362060546875,433.67877197265625,684.8595581054688,459.01104736328125,659.1973876953125,466.23687744140625
25,0026.jpg,0,687.555908203125,333.84832763671875,675.7740478515625,339.92169189453125,678.9186401367188,301.5935974121094,659.798583984375,311.9554138183594,664.94189453125,264.4754333496094,647.8519287109375,278.1025085449219,692.1461181640625,386.73236083984375,682.4502563476562,389.8158874511719,713.5135498046875,430.548583984375,701.3600463867188,434.3514099121094,684.2627563476562,458.58489990234375,660.0950317382812,465.61114501953125
26,0027.jpg,0,683.9740600585938,333.5174255371094,674.8424682617188,340.8108825683594,664.2517700195312,301.12884521484375,659.7796630859375,318.76019287109375,638.5385131835938,260.78857421875,647.7177124023438,282.41156005859375,696.046630859375,388.23211669921875,687.0774536132812,391.1847229003906,706.485595703125,430.9614562988281,692.4303588867188,434.2454833984375,685.064208984375,458.4180908203125,663.2564086914062,462.98992919921875
27,0028.jpg,0,677.93115234375,322.9273681640625,667.7809448242188,331.5561218261719,666.0902099609375,295.9466857910156,660.6376953125,318.8247985839844,647.4641723632812,256.6473083496094,652.2230224609375,286.083251953125,694.9151000976562,382.8226623535156,685.28515625,386.10992431640625,705.5023803710938,428.22802734375,688.3157958984375,431.60467529296875,687.380859375,458.16558837890625,662.55859375,462.4565734863281
28,0029.jpg,0,673.6553344726562,322.68023681640625,670.2139892578125,329.140869140625,667.3255615234375,296.6009826660156,665.3060302734375,311.6246337890625,660.1820068359375,260.5660095214844,664.0553588867188,277.0946350097656,692.388427734375,379.5079040527344,688.4061889648438,382.72259521484375,697.988037109375,428.2872009277344,693.255615234375,432.3228759765625,680.8424682617188,456.576416015625,671.508056640625,461.15008544921875
29,0030.jpg,0,671.1385498046875,318.0463562011719,666.8585815429688,322.7977600097656,667.232177734375,290.912841796875,661.857421875,296.0675354003906,664.1152954101562,262.1170654296875,662.3010864257812,260.956298828125,692.5847778320312,377.0467529296875,688.6769409179688,379.9554443359375,694.1414184570312,426.480224609375,695.0892944335938,430.3883056640625,686.0017700195312,456.5879211425781,682.25146484375,462.0125427246094
30,0031.jpg,0,664.2485961914062,310.9517517089844,669.806884765625,314.1297302246094,648.52490234375,294.86370849609375,667.673095703125,301.2746887207031,636.4991455078125,283.0771789550781,656.3182983398438,287.59814453125,689.02734375,364.49725341796875,691.0216064453125,367.06549072265625,695.8680419921875,415.0839538574219,699.6043090820312,418.3761291503906,690.3159790039062,455.0191650390625,688.5759887695312,458.232421875
31,0032.jpg,0,678.9588012695312,312.6285400390625,672.0778198242188,310.8159484863281,670.9005737304688,313.7779235839844,661.7728881835938,312.65167236328125,658.613037109375,297.0384216308594,655.7864379882812,294.99737548828125,699.6080322265625,362.4422302246094,694.3617553710938,362.3795166015625,700.5396118164062,407.46435546875,700.5276489257812,407.23974609375,694.7092895507812,454.4809265136719,694.6007080078125,452.0397644042969
32,0033.jpg,0,679.6682739257812,302.247314453125,661.37109375,303.63128662109375,677.2474365234375,307.330810546875,653.9336547851562,310.5030517578125,658.9456176757812,295.7507629394531,652.8532104492188,298.3645324707031,700.7102661132812,357.60125732421875,688.2448120117188,358.6849670410156,698.5587768554688,401.288818359375,691.964599609375,401.7538757324219,697.8162231445312,449.9755859375,696.695556640625,449.1065673828125
33,0034.jpg,0,678.6629638671875,295.3800048828125,660.7996826171875,298.61663818359375,680.6890258789062,289.234619140625,661.7332153320312,295.3811340332031,664.3886108398438,288.548583984375,663.9242553710938,292.0153503417969,700.4961547851562,351.0226135253906,688.21728515625,352.8841552734375,697.2825317382812,397.36676025390625,689.5380859375,398.0586242675781,696.82080078125,448.52471923828125,694.6812133789062,448.2904052734375
34,0035.jpg,0,686.7545776367188,295.39678955078125,664.4179077148438,297.704345703125,682.7577514648438,285.88739013671875,653.6488647460938,285.2752685546875,671.6254272460938,271.11004638671875,664.6123046875,270.3624572753906,700.5650634765625,348.90057373046875,685.4972534179688,350.79534912109375,704.7525634765625,396.84539794921875,692.2334594726562,397.6561279296875,699.8014526367188,439.0067138671875,686.331787109375,441.4444274902344
35,0036.jpg,0,692.1152954101562,273.38531494140625,673.358642578125,275.7220764160156,696.30517578125,260.8198547363281,674.6160278320312,263.7269592285156,692.6333618164062,241.007568359375,681.6239624023438,244.98779296875,695.51220703125,337.8605041503906,682.4369506835938,339.07879638671875,704.8262939453125,392.2449951171875,693.7290649414062,392.7774658203125,697.8269653320312,437.38177490234375,686.2737426757812,438.28265380859375
36,0037.jpg,0,669.1559448242188,295.06280517578125,668.43359375,305.2491455078125,690.7093505859375,260.0909118652344,693.7574462890625,277.3100280761719,702.6780395507812,229.10415649414062,702.4901123046875,241.177001953125,689.6290283203125,344.357666015625,687.5997314453125,349.2525634765625,705.7362670898438,392.08251953125,700.7767333984375,399.04144287109375,701.987548828125,431.31072998046875,697.327880859375,440.6503601074219
37,0038.jpg,0,663.6591186523438,300.7949523925781,673.4653930664062,303.8528137207031,686.052734375,268.1867980957031,696.830810546875,272.2565002441406,701.8321533203125,235.23013305664062,702.9926147460938,237.126953125,683.8844604492188,344.9100341796875,690.558349609375,346.84991455078125,696.3687133789062,392.4503173828125,707.7647705078125,393.9263916015625,694.6543579101562,432.9063415527344,708.8092041015625,435.43994140625
38,0039.jpg,0,681.3515625,295.243896484375,676.6644287109375,296.1683349609375,703.5862426757812,294.51287841796875,692.243408203125,295.69305419921875,703.3345947265625,270.9259338378906,703.8929443359375,267.94561767578125,691.1190795898438,345.583740234375,687.23583984375,346.97430419921875,706.4244995117188,392.9437561035156,692.5819091796875,393.62872314453125,718.4843139648438,437.6485595703125,697.281005859375,437.80841064453125
39,0040.jpg,0,654.7536010742188,310.4233093261719,682.4671630859375,300.564697265625,661.1145629882812,337.9202880859375,703.7728271484375,323.02093505859375,664.5618896484375,346.30010986328125,709.8299560546875,332.4694519042969,684.9190063476562,345.0877380371094,704.2297973632812,341.8125305175781,685.681396484375,396.9032897949219,713.1851196289062,393.1902160644531,690.9174194335938,442.3776550292969,723.2755737304688,434.6291809082031
40,0041.jpg,0,655.6032104492188,313.04730224609375,681.8515625,304.5939025878906,659.562255859375,340.6890563964844,698.8853759765625,329.5862731933594,659.3783569335938,350.98724365234375,699.9547119140625,341.5809326171875,686.9620361328125,350.93560791015625,706.114013671875,348.2688903808594,684.6796875,400.9115295410156,715.7543334960938,397.850341796875,689.7572631835938,442.876708984375,728.2305908203125,435.7735900878906
41,0042.jpg,0,656.4010009765625,321.36529541015625,684.7271728515625,311.42633056640625,660.3514404296875,349.5088806152344,701.9567260742188,337.25164794921875,661.7738647460938,363.3295593261719,704.6226196289062,352.8532409667969,688.4359130859375,354.98504638671875,708.4716186523438,351.8032531738281,684.916259765625,404.77679443359375,716.875732421875,401.499755859375,688.2137451171875,447.5587158203125,727.4234008789062,439.84930419921875
42,0043.jpg,0,657.581787109375,325.2049560546875,684.0296020507812,320.0890197753906,659.1832885742188,350.1234130859375,696.6262817382812,346.7609558105469,659.5596923828125,370.2929382324219,692.0079345703125,366.8732604980469,691.6637573242188,359.42852783203125,709.8784790039062,358.1969909667969,684.3045654296875,403.30609130859375,709.8860473632812,401.9167175292969,692.7312622070312,442.7986755371094,720.4743041992188,438.3379821777344
43,0044.jpg,0,657.026123046875,332.7237243652344,684.1975708007812,326.70355224609375,658.7543334960938,358.8332824707031,700.4327392578125,352.51806640625,662.4806518554688,380.6205139160156,705.60546875,373.8422546386719,683.5725708007812,371.31036376953125,700.575927734375,369.43719482421875,682.8380737304688,414.3878479003906,694.4852294921875,412.58599853515625,693.0263061523438,453.4696350097656,698.8865356445312,448.47894287109375
44,0045.jpg,0,660.0376586914062,337.8657531738281,685.7836303710938,331.558349609375,659.6082763671875,363.9770812988281,693.2118530273438,358.38665771484375,660.7086791992188,383.9036865234375,690.7894897460938,380.0799865722656,687.1974487304688,372.6866149902344,703.747802734375,370.7354736328125,684.21728515625,416.35235595703125,696.6497192382812,414.5320739746094,692.8876342773438,454.6658630371094,700.5364379882812,449.510498046875
45,0046.jpg,0,661.637451171875,342.15411376953125,686.4324951171875,335.4956359863281,661.22900390625,367.9267578125,691.894775390625,361.6688232421875,661.3596801757812,385.4914245605469,688.1837768554688,381.75836181640625,688.2417602539062,374.68670654296875,704.0151977539062,372.51666259765625,685.258056640625,418.4331359863281,696.467041015625,416.4248046875,692.92431640625,455.9924011230469,699.1039428710938,450.5865783691406
46,0047.jpg,0,660.2802734375,345.1805419921875,687.3804321289062,337.8150939941406,660.9275512695312,370.33203125,696.4664306640625,362.2923278808594,661.1834716796875,385.4058532714844,695.0121459960938,379.1070556640625,686.6994018554688,377.72344970703125,703.7636108398438,375.1770324707031,684.656005859375,419.1279296875,695.6903686523438,416.7306823730469,692.1951293945312,456.3604736328125,697.5515747070312,450.4790954589844
47,0048.jpg,0,660.1995849609375,347.43292236328125,683.15673828125,340.7759704589844,659.5941162109375,371.1622619628906,694.3561401367188,364.9110412597656,660.888916015625,387.6774597167969,696.3296508789062,382.3425598144531,686.7255859375,376.0898742675781,701.0036010742188,374.0243835449219,683.7057495117188,416.1858215332031,694.8908081054688,414.5181579589844,689.822509765625,453.29974365234375,695.558837890625,447.9880676269531
