frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,395.0872802734375,414.83642578125,387.24932861328125,411.2510986328125,377.9826965332031,460.96661376953125,365.04681396484375,452.48162841796875,373.36077880859375,498.1341552734375,365.9262390136719,497.0185546875,347.3076477050781,476.76531982421875,339.0946044921875,473.92327880859375,358.7826843261719,538.6760864257812,325.6474914550781,538.6864624023438,364.0224609375,599.27392578125,312.3167419433594,608.48779296875
1,0002.jpg,0,394.7646789550781,414.14422607421875,381.99749755859375,409.46923828125,376.394775390625,460.481689453125,355.5196228027344,449.1834716796875,372.8238830566406,498.828369140625,357.4959716796875,495.45904541015625,348.6284484863281,477.9620666503906,337.7353210449219,474.8662414550781,358.1395263671875,538.656982421875,324.4163513183594,538.4219970703125,361.4935607910156,599.3745727539062,311.6494140625,609.1055297851562
2,0003.jpg,0,388.89202880859375,413.6036071777344,374.5387878417969,408.772216796875,374.1900939941406,461.2392272949219,347.26409912109375,450.81317138671875,375.0284118652344,501.30224609375,339.17926025390625,497.0125732421875,345.9771728515625,481.78515625,334.0889587402344,478.8141174316406,358.145751953125,543.6218872070312,323.360595703125,542.69970703125,362.701904296875,603.2421875,310.0107727050781,609.5399780273438
3,0004.jpg,0,388.5536193847656,413.1458740234375,368.8436279296875,405.1528625488281,377.8450927734375,462.53143310546875,339.418212890625,445.0977478027344,384.2106018066406,504.869873046875,333.6538391113281,491.129150390625,348.4704284667969,483.5327453613281,333.0573425292969,479.81195068359375,360.9402160644531,544.5169067382812,321.6266174316406,543.328369140625,365.11895751953125,602.0328369140625,309.7901916503906,608.8622436523438
4,0005.jpg,0,389.11260986328125,413.5216979980469,361.7997131347656,402.58807373046875,384.3841247558594,459.5732421875,329.7022705078125,435.112060546875,392.5259094238281,498.87823486328125,319.000244140625,477.97357177734375,352.760498046875,486.0303649902344,332.4779968261719,480.9739990234375,361.65521240234375,547.4346313476562,317.2251892089844,544.0863037109375,366.6326599121094,602.30517578125,307.1403503417969,606.5020141601562
5,0006.jpg,0,389.91986083984375,411.65496826171875,355.6241760253906,408.55645751953125,392.70428466796875,451.3139343261719,322.58355712890625,441.5889587402344,406.0517272949219,491.00262451171875,309.4458312988281,480.6294250488281,358.32537841796875,486.3294677734375,334.1607666015625,484.7287902832031,367.2705383300781,548.19970703125,318.9383239746094,547.2359619140625,376.2130126953125,604.347900390625,304.38140869140625,604.4757690429688
6,0007.jpg,0,389.279052734375,408.98455810546875,346.4137268066406,403.06097412109375,402.4004821777344,444.8218688964844,314.6739196777344,435.6658020019531,419.0174255371094,479.7384033203125,301.0903625488281,474.4130554199219,358.15301513671875,480.02044677734375,328.68292236328125,477.8154602050781,372.1095886230469,538.5610961914062,319.5516357421875,538.7833251953125,371.7073059082031,596.08251953125,304.3929138183594,600.9583740234375
7,0008.jpg,0,382.6318664550781,404.47894287109375,339.1949768066406,398.3926696777344,405.3582763671875,442.3314208984375,302.3621826171875,435.68267822265625,429.3703918457031,469.1811218261719,284.6095886230469,477.16339111328125,354.2393798828125,480.3498840332031,325.45654296875,478.41162109375,371.38531494140625,537.3736572265625,321.2563781738281,536.2152709960938,371.4378662109375,600.9995727539062,310.12646484375,604.042236328125
8,0009.jpg,0,374.0653991699219,404.12554931640625,337.7306823730469,397.76739501953125,410.66046142578125,434.9851989746094,301.8194274902344,429.54345703125,444.948486328125,454.8936767578125,278.51104736328125,467.0745544433594,349.321044921875,484.1368103027344,325.1013488769531,481.81744384765625,371.9676208496094,542.1253662109375,320.6302795410156,540.8485107421875,375.35223388671875,602.0343017578125,307.87896728515625,606.4481201171875
9,0010.jpg,0,378.68292236328125,399.65087890625,330.38800048828125,395.84161376953125,415.6431884765625,421.0388488769531,291.74688720703125,424.9647216796875,453.50994873046875,428.0514221191406,268.85211181640625,463.37396240234375,355.0567626953125,483.7940368652344,322.7944030761719,482.74285888671875,379.25341796875,541.6502685546875,321.3771057128906,541.4895629882812,379.985107421875,600.9644165039062,306.37481689453125,608.3187866210938
