frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,310.0015869140625,408.5720825195313,289.61468505859375,404.3244018554687,285.63983154296875,465.6121215820313,268.65716552734375,456.95355224609375,283.91168212890625,518.4308471679688,272.9755859375,513.3639526367188,257.41107177734375,487.1408081054687,236.91123962402344,484.9386291503906,275.49737548828125,558.5507202148438,216.35198974609375,560.3378295898438,287.3800048828125,627.875,199.0107879638672,639.4910278320312
1,0002.jpg,0,307.6517333984375,407.61126708984375,284.62921142578125,403.94781494140625,281.6510925292969,465.4700927734375,262.85400390625,454.1541748046875,279.31414794921875,518.9638671875,264.45855712890625,505.66900634765625,254.3140563964844,484.0359497070313,232.31239318847656,482.2301635742187,273.5,556.3574829101562,213.93777465820312,559.6163940429688,286.18963623046875,625.6500244140625,197.84344482421875,639.7144775390625
2,0003.jpg,0,306.9560241699219,407.4571533203125,277.26409912109375,402.70172119140625,286.34088134765625,464.5506896972656,254.4690093994141,452.5137939453125,283.9898376464844,517.580810546875,253.1102294921875,506.6467895507813,254.26058959960935,484.0988159179687,228.27032470703125,481.85797119140625,276.5477294921875,557.4036254882812,212.5462951660156,560.0680541992188,289.0455627441406,625.3102416992188,197.44297790527344,639.3175048828125
3,0004.jpg,0,302.8391418457031,409.3328247070313,271.01287841796875,398.0780029296875,287.82952880859375,468.9342651367187,236.0846710205078,443.9248046875,288.5693054199219,517.9745483398438,230.97401428222656,498.84368896484375,251.0695953369141,485.338134765625,224.61407470703125,480.9921569824219,274.3185729980469,558.0740356445312,210.2705841064453,558.001220703125,287.50823974609375,626.113037109375,195.2938995361328,638.699951171875
4,0005.jpg,0,296.2566223144531,407.2300720214844,264.6193542480469,395.98040771484375,291.3069763183594,464.489501953125,229.4822235107422,440.2225341796875,303.1647033691406,509.28656005859375,223.5295867919922,492.0860595703125,247.9320068359375,484.3288269042969,223.24085998535156,480.0104370117187,268.8378601074219,558.5088500976562,212.72080993652344,557.6864013671875,282.3282470703125,627.053955078125,198.6861267089844,638.9043579101562
5,0006.jpg,0,296.593994140625,403.7247314453125,254.23715209960935,395.5789794921875,295.3918762207031,454.274169921875,222.0648651123047,438.0869445800781,313.29473876953125,499.61480712890625,205.21617126464844,490.6624755859375,255.2436981201172,489.4302978515625,222.78836059570312,486.66448974609375,276.6208801269531,563.4512939453125,206.3809051513672,565.84130859375,288.5867614746094,625.0360107421875,193.7689514160156,639.585693359375
6,0007.jpg,0,295.6014709472656,401.9523010253906,246.41619873046875,393.34564208984375,304.7836608886719,447.6795654296875,214.33070373535156,433.3775939941406,331.44036865234375,488.15777587890625,196.44976806640625,484.0139770507813,257.2585754394531,490.6552734375,220.70455932617188,487.9225463867187,281.327880859375,562.6546020507812,205.81884765625,564.621337890625,293.3053894042969,626.5576782226562,194.0569000244141,639.8029174804688
7,0008.jpg,0,289.3262939453125,398.499755859375,237.9937744140625,388.2384643554687,316.44830322265625,443.4886474609375,198.42544555664065,426.2275695800781,344.5779113769531,478.1708984375,182.6031951904297,481.6237487792969,251.9149169921875,490.07611083984375,215.81866455078125,486.4031677246094,278.46405029296875,560.0716552734375,203.72796630859375,558.8457641601562,296.59283447265625,631.3092041015625,197.5938262939453,641.4515380859375
8,0009.jpg,0,289.3876953125,394.1453857421875,234.65045166015625,387.2561645507813,325.0234680175781,430.40380859375,192.67665100097656,424.0182189941406,359.130126953125,456.83697509765625,175.79217529296875,474.0979614257813,254.5184631347656,490.0397338867187,216.9065704345703,487.5320739746094,280.91461181640625,559.9139404296875,207.6044464111328,559.1481323242188,294.7138366699219,630.806640625,195.5930023193359,639.6229248046875
9,0010.jpg,0,287.53466796875,389.5989990234375,228.91741943359375,386.77484130859375,331.5481872558594,417.7380065917969,185.9142303466797,423.8539733886719,373.4681701660156,429.5908508300781,165.62509155273438,475.5799560546875,253.54791259765625,492.5123901367187,213.8566741943359,492.54052734375,288.793701171875,559.6863403320312,211.5293884277344,560.8882446289062,296.3946228027344,626.7611083984375,198.21438598632812,637.7164306640625
