frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,648.5556640625,344.51495361328125,663.0715942382812,347.5404052734375,642.4386596679688,391.4595031738281,648.37353515625,395.4416198730469,646.2918701171875,443.134765625,643.0244140625,447.2526245117187,599.2461547851562,423.7889404296875,607.6759033203125,423.3143615722656,618.6414184570312,500.8971557617187,604.1128540039062,505.1751708984375,622.5904541015625,575.927734375,588.8915405273438,590.6848754882812
1,0002.jpg,0,648.26123046875,342.2896423339844,659.80615234375,345.9137878417969,643.4861450195312,390.7021484375,645.4633178710938,395.8825073242187,646.0540771484375,443.337646484375,641.1793212890625,448.3161926269531,599.7008666992188,424.2245788574219,606.2905883789062,423.99700927734375,618.4155883789062,500.9114990234375,603.40380859375,505.45892333984375,620.9898681640625,576.4859619140625,587.2643432617188,591.563232421875
2,0003.jpg,0,643.0283203125,340.8138732910156,656.2891235351562,343.872802734375,639.7178344726562,388.4083862304687,641.5423583984375,393.2419128417969,643.1939086914062,438.5994567871094,637.9168090820312,445.9652404785156,594.0621337890625,426.03466796875,601.3228759765625,425.2864074707031,612.2630004882812,503.79351806640625,595.2742309570312,506.99853515625,618.1777954101562,579.50927734375,578.8202514648438,592.9772338867188
3,0004.jpg,0,643.5606689453125,338.9203796386719,654.114990234375,342.42291259765625,637.3199462890625,388.0786437988281,639.6192626953125,394.3708801269531,645.6588745117188,437.2523193359375,640.6043090820312,448.049560546875,595.5098876953125,423.80511474609375,600.7008666992188,423.319580078125,613.0829467773438,501.3673095703125,593.2661743164062,505.1178588867187,619.326171875,576.9298706054688,576.3591918945312,592.2109985351562
4,0005.jpg,0,637.934326171875,338.4227294921875,651.6751708984375,340.77215576171875,636.9951782226562,388.467529296875,646.9074096679688,394.45806884765625,647.7742919921875,438.9382629394531,655.49267578125,449.8251037597656,593.72705078125,426.68170166015625,599.9838256835938,425.6783142089844,612.18603515625,503.2888793945313,591.8402099609375,504.57763671875,625.5469970703125,580.1649780273438,577.1353149414062,590.4129638671875
5,0006.jpg,0,630.4291381835938,334.84912109375,648.9745483398438,338.36187744140625,631.451416015625,384.7384948730469,652.047607421875,393.1858215332031,652.6173706054688,432.4661254882813,675.2590942382812,445.9517517089844,593.8909912109375,425.3572692871094,602.3972778320312,425.9377136230469,617.6436767578125,500.500732421875,598.3049926757812,503.71282958984375,630.4459228515625,576.5523681640625,580.3889770507812,588.7118530273438
6,0007.jpg,0,641.1666870117188,336.9903564453125,643.2125854492188,339.6244812011719,664.8831787109375,382.3026428222656,638.3475952148438,391.0326232910156,700.0231323242188,429.1505737304687,648.7210693359375,439.3125305175781,599.6439819335938,428.7021789550781,599.244140625,429.0589904785156,622.1644897460938,503.3259887695313,597.1891479492188,508.7937622070313,633.919189453125,575.5983276367188,582.2081909179688,592.2293090820312
7,0008.jpg,0,642.8892211914062,338.9447937011719,632.911376953125,336.3172912597656,676.8509521484375,377.7857360839844,606.9963989257812,380.9977722167969,720.8475952148438,410.9792785644531,597.2007446289062,429.41015625,608.2596435546875,430.5029296875,602.2330322265625,429.28173828125,625.33544921875,509.2102661132813,598.5587768554688,511.5052490234375,632.482421875,575.8796997070312,582.3019409179688,589.1320190429688
8,0009.jpg,0,653.458984375,336.0865173339844,621.3358154296875,335.0486145019531,689.9644165039062,370.7381591796875,593.1378784179688,378.6219482421875,730.9921264648438,388.7614440917969,583.8876953125,420.18505859375,614.9638061523438,434.3668823242187,596.1155395507812,434.03472900390625,631.4197998046875,505.3956909179687,597.4736938476562,508.0369262695313,625.3557739257812,574.05078125,590.8895263671875,585.955810546875
9,0010.jpg,0,656.6620483398438,333.22735595703125,616.2185668945312,334.189453125,698.1522216796875,360.049072265625,587.8714599609375,374.8026123046875,740.2300415039062,359.75506591796875,577.5653076171875,409.6067504882813,620.0836791992188,432.250244140625,595.233642578125,432.7864990234375,639.2261962890625,504.05322265625,597.1295166015625,506.7526245117187,634.318115234375,572.7852783203125,586.5562744140625,585.555419921875
10,0011.jpg,0,617.8097534179688,332.57379150390625,645.2518920898438,329.5274353027344,592.7730712890625,366.6815490722656,689.1708374023438,346.22760009765625,584.3059692382812,397.81781005859375,749.7310791015625,329.0775146484375,604.4605102539062,429.845703125,612.0198974609375,429.0126953125,641.6461791992188,500.64459228515625,608.8406982421875,507.092041015625,644.5119018554688,575.13232421875,579.6119384765625,586.9762573242188
11,0012.jpg,0,655.7925415039062,328.3907775878906,606.8975219726562,334.008544921875,702.5482788085938,330.62054443359375,568.2755126953125,361.2418212890625,740.2787475585938,304.6517639160156,556.6519775390625,392.8190307617187,627.5643310546875,428.39404296875,597.069091796875,431.6642456054687,655.7241821289062,501.1685791015625,609.9653930664062,505.18756103515625,639.9020385742188,572.6248779296875,582.0123291015625,587.7109985351562
12,0013.jpg,0,651.6093139648438,327.92620849609375,603.5475463867188,337.32244873046875,703.5338745117188,319.5289306640625,559.2537231445312,365.069091796875,746.5830078125,282.51190185546875,549.6605834960938,391.5228271484375,627.2078247070312,430.3775634765625,597.5687255859375,435.8030395507813,660.5133666992188,502.7391357421875,616.5178833007812,508.3890380859375,642.9401245117188,573.2889404296875,582.0386352539062,587.7950439453125
13,0014.jpg,0,643.9358520507812,325.4759216308594,608.340087890625,338.3205871582031,689.8530883789062,308.0428466796875,561.1807861328125,363.1298522949219,737.0140380859375,268.4546203613281,555.050048828125,376.15570068359375,628.2387084960938,428.18310546875,605.970947265625,435.2449951171875,663.5006103515625,498.69134521484375,629.0768432617188,509.09765625,643.5658569335938,563.9273681640625,586.3831787109375,585.6414794921875
14,0015.jpg,0,620.86328125,333.14532470703125,620.634521484375,331.0951232910156,613.1100463867188,334.65093994140625,614.0374755859375,317.99090576171875,618.9071655273438,321.1424865722656,622.4641723632812,291.798095703125,618.7565307617188,428.2120971679687,613.5350341796875,431.169921875,665.1260986328125,496.486572265625,632.9054565429688,506.7351684570313,645.5789794921875,563.6282958984375,592.1943969726562,584.5097045898438
15,0016.jpg,0,597.3414916992188,346.318359375,636.7278442382812,325.8851013183594,550.3419799804688,376.0077819824219,689.8402099609375,290.7355041503906,548.1744384765625,378.8118286132813,721.4312133789062,245.2628173828125,609.2157592773438,435.8730163574219,623.146240234375,433.4295043945313,659.303955078125,502.2521362304687,636.7774047851562,509.2605590820313,641.7120971679688,567.1365356445312,592.25,587.3544921875
16,0017.jpg,0,605.835693359375,347.70489501953125,625.234130859375,332.3846130371094,566.8984985351562,364.6300964355469,666.03076171875,294.2461853027344,552.796142578125,362.8638916015625,695.9461059570312,251.30364990234375,619.3612670898438,435.82415771484375,621.9081420898438,435.05181884765625,666.8448486328125,503.0927734375,636.9606323242188,511.8679809570313,646.7160034179688,567.7056884765625,597.8120727539062,590.9805297851562
17,0018.jpg,0,630.00390625,328.9523010253906,602.7088623046875,346.8188781738281,671.4609375,298.5303955078125,570.080322265625,358.5010070800781,705.2957763671875,252.9180908203125,568.2784423828125,363.50543212890625,629.47998046875,429.23388671875,614.7158203125,439.1452331542969,645.399658203125,505.7025146484375,636.1594848632812,514.8045043945312,632.1056518554688,576.8307495117188,608.4970092773438,587.27001953125
18,0019.jpg,0,633.45849609375,326.5499267578125,598.6273803710938,350.3329162597656,678.1109619140625,290.4678039550781,569.3200073242188,363.2492065429687,709.1121826171875,243.51254272460935,568.5269165039062,366.6346740722656,636.3116455078125,431.1132507324219,615.8656616210938,443.2640686035156,653.4259643554688,506.2884521484375,634.1857299804688,518.7351684570312,633.8932495117188,579.0924072265625,602.6389770507812,591.86962890625
19,0020.jpg,0,631.9125366210938,324.52301025390625,595.2758178710938,352.20465087890625,673.5752563476562,289.64739990234375,558.819580078125,370.85894775390625,696.7478637695312,241.350830078125,563.7604370117188,368.5219421386719,642.8253173828125,430.84771728515625,621.76611328125,444.69525146484375,654.28857421875,505.757568359375,638.2787475585938,519.6478881835938,634.8465576171875,580.1468505859375,605.3726806640625,592.1141357421875
20,0021.jpg,0,631.5598754882812,330.6720275878906,589.776611328125,358.2359313964844,676.4931640625,289.37994384765625,553.1286010742188,380.7095031738281,692.6045532226562,235.17431640625,560.6211547851562,375.3459777832031,645.5528564453125,439.3201293945313,618.513427734375,452.2899169921875,678.7652587890625,504.91998291015625,642.92236328125,517.172119140625,649.8690185546875,574.5967407226562,593.0348510742188,583.9305419921875
21,0022.jpg,0,627.1783447265625,338.4722900390625,593.6865234375,364.5425720214844,666.2498168945312,294.1858825683594,552.5260009765625,387.4256591796875,681.9254760742188,227.1250762939453,559.568603515625,367.8013610839844,639.8854370117188,445.1835021972656,618.062255859375,457.0478210449219,682.4805908203125,506.0770263671875,652.347412109375,517.8916625976562,646.0849609375,570.4328002929688,592.8536376953125,582.9987182617188
22,0023.jpg,0,628.4020385742188,340.6520080566406,594.2283935546875,368.3746948242187,663.4335327148438,292.6680908203125,553.1983032226562,391.978759765625,673.7500610351562,223.20404052734375,558.1036376953125,377.1326293945313,641.0800170898438,448.05364990234375,618.8484497070312,460.1859436035156,682.17529296875,509.1219482421875,655.4764404296875,520.2711181640625,641.4993896484375,572.7546997070312,592.651611328125,584.509033203125
23,0024.jpg,0,628.203857421875,336.2663269042969,589.6456909179688,368.7583923339844,657.2379150390625,287.3440246582031,551.26611328125,398.8784484863281,664.9058837890625,220.99351501464844,558.4630737304688,384.5323791503906,643.4443969726562,444.9632568359375,617.8694458007812,458.8697204589844,680.3883056640625,507.259521484375,651.792236328125,520.3595581054688,639.8726806640625,573.337158203125,594.1743774414062,583.5881958007812
24,0025.jpg,0,622.7625732421875,332.1221923828125,588.6473388671875,367.70172119140625,646.8770141601562,282.08740234375,555.4425659179688,404.4807739257813,655.1444091796875,222.7084045410156,558.6389770507812,389.4739685058594,644.8196411132812,446.7264099121094,620.9935913085938,461.53955078125,685.59814453125,509.6077270507813,655.9728393554688,523.9536743164062,649.0985717773438,576.8522338867188,596.9567260742188,588.09033203125
25,0026.jpg,0,622.2743530273438,333.34112548828125,588.4830322265625,369.0953369140625,642.4412231445312,284.2687072753906,559.976318359375,407.7163391113281,650.8880615234375,224.52919006347656,568.1567993164062,390.9567260742187,647.9293212890625,445.9911193847656,623.6055297851562,460.9991455078125,684.902587890625,509.9874877929687,652.9400634765625,524.8316650390625,652.1796875,577.6011352539062,599.3629760742188,588.66357421875
26,0027.jpg,0,623.1575317382812,334.24993896484375,596.0072021484375,372.2104187011719,641.43701171875,279.3182678222656,571.9542236328125,402.4785461425781,644.918212890625,231.2840118408203,575.2261962890625,381.0651550292969,649.3468017578125,444.4893493652344,629.1312866210938,460.2431335449219,684.4855346679688,507.3821411132813,656.6267700195312,524.12841796875,651.51171875,575.8907470703125,601.2619018554688,586.1146240234375
27,0028.jpg,0,626.1617431640625,328.50665283203125,596.5247802734375,364.1374206542969,644.491943359375,272.6651611328125,584.6604614257812,383.0704345703125,653.8194580078125,210.5687255859375,586.4738159179688,348.5150451660156,651.7005615234375,434.1308288574219,630.1409912109375,449.2033386230469,679.7691650390625,501.7028198242187,652.091796875,518.7938232421875,647.3394775390625,571.0280151367188,610.275390625,582.8646850585938
28,0029.jpg,0,625.532470703125,325.3739013671875,599.044189453125,360.013916015625,650.2190551757812,268.9022521972656,592.7918701171875,378.2923583984375,661.1375122070312,205.68109130859375,593.435546875,346.9751281738281,652.3279418945312,430.38336181640625,633.7589111328125,444.6109619140625,676.1102905273438,501.60748291015625,654.6453857421875,516.95166015625,642.7476806640625,572.5428466796875,614.2559204101562,582.9974365234375
29,0030.jpg,0,624.1318359375,310.9925842285156,599.1358642578125,347.14404296875,654.3271484375,270.8440246582031,610.8220825195312,367.3895263671875,672.0196533203125,230.05905151367188,634.2874145507812,370.31781005859375,649.962158203125,414.3329162597656,633.75390625,432.5823059082031,669.3170776367188,488.1947021484375,660.1732177734375,507.662841796875,650.3494262695312,571.892333984375,633.3758544921875,586.4170532226562
30,0031.jpg,0,623.5389404296875,313.93865966796875,599.223388671875,331.8368835449219,652.4224243164062,272.052490234375,585.4927368164062,308.631591796875,672.7999267578125,237.48385620117188,560.771728515625,279.62713623046875,648.5496826171875,412.4703674316406,635.2634887695312,422.302490234375,666.4722290039062,487.5828857421875,663.8101806640625,499.8560791015625,649.0921630859375,564.540283203125,641.2740478515625,580.884033203125
31,0032.jpg,0,603.7210693359375,308.9123840332031,613.9546508789062,307.6253967285156,638.4663696289062,293.0062255859375,653.5671997070312,287.4807434082031,668.11328125,276.0428161621094,678.716064453125,261.33447265625,636.1188354492188,395.78759765625,642.2451171875,396.33502197265625,640.1929321289062,482.5735778808594,651.2605590820312,482.3374938964844,642.2589721679688,566.8260498046875,647.109619140625,568.9517822265625
32,0033.jpg,0,607.7374877929688,304.0268859863281,599.1781005859375,304.3037414550781,650.9674072265625,312.16473388671875,642.0296020507812,309.4803466796875,671.3102416992188,301.8397521972656,666.9607543945312,296.4992980957031,642.4197998046875,392.8865966796875,637.1539306640625,394.24505615234375,647.434814453125,476.0079650878906,650.3215942382812,476.996826171875,638.3947143554688,558.413818359375,643.2529296875,562.548828125
33,0034.jpg,0,607.423583984375,289.88604736328125,610.1451416015625,289.00469970703125,624.4074096679688,274.57684326171875,637.0478515625,269.75555419921875,619.50732421875,242.87921142578125,624.2294921875,242.16217041015625,636.2198486328125,378.3269958496094,638.361083984375,378.3643798828125,640.7999267578125,468.51275634765625,649.6453857421875,467.0757141113281,639.2531127929688,547.561279296875,649.380615234375,549.4246826171875
34,0035.jpg,0,603.3104858398438,299.1033630371094,614.0244140625,281.2562561035156,612.483154296875,263.81549072265625,639.138916015625,224.52749633789065,613.8412475585938,217.15687561035156,624.577880859375,206.2627716064453,632.8068237304688,383.14306640625,639.1304931640625,377.4617004394531,649.0780029296875,464.7302551269531,653.7138671875,456.4361877441406,640.3086547851562,542.1303100585938,650.7553100585938,545.4856567382812
35,0036.jpg,0,596.7706909179688,294.995361328125,619.0284423828125,271.3353271484375,616.1031494140625,267.4655456542969,644.1668701171875,216.05320739746097,626.5772705078125,196.3449554443359,638.70556640625,172.42080688476562,618.5201416015625,376.9292297363281,633.6231689453125,368.5325012207031,635.750244140625,462.8616943359375,657.481201171875,448.9646911621094,634.725830078125,537.6387939453125,654.69482421875,534.8189697265625
36,0037.jpg,0,590.3464965820312,298.84246826171875,617.559326171875,273.1957092285156,612.422119140625,262.0158386230469,643.4896240234375,205.6470489501953,644.3319091796875,196.87501525878903,650.5914306640625,168.36038208007812,614.3911743164062,378.3448486328125,633.3047485351562,371.2493591308594,639.2392578125,454.0464782714844,662.4924926757812,444.5984191894531,630.1044921875,529.955810546875,656.0902709960938,534.9613037109375
