frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,574.570556640625,352.6229248046875,584.1394653320312,355.0151672363281,599.1987915039062,390.2187194824219,604.0601196289062,396.2998352050781,637.5693969726562,429.43743896484375,629.4705200195312,431.040771484375,572.2025146484375,431.433837890625,580.3546752929688,433.5931396484375,577.7652587890625,489.35302734375,589.9613647460938,490.8258056640625,572.2965698242188,541.1200561523438,583.9763793945312,545.6890869140625
1,0002.jpg,0,573.6618041992188,353.1323547363281,581.1530151367188,355.05731201171875,599.4708862304688,388.9403381347656,604.0770263671875,394.7138977050781,636.8530883789062,427.7835998535156,629.413330078125,428.9764404296875,573.8084716796875,430.9779968261719,578.3189086914062,432.9533386230469,587.4231567382812,489.22442626953125,579.5067138671875,490.72149658203125,589.7850341796875,541.6701049804688,567.9183349609375,545.842529296875
2,0003.jpg,0,571.2027587890625,353.0260009765625,577.6970825195312,355.0897216796875,598.9804077148438,387.3175048828125,601.668701171875,393.15228271484375,637.1807250976562,415.9667663574219,628.0106201171875,416.6740417480469,573.956787109375,431.0530700683594,575.8335571289062,433.2725524902344,595.2998046875,488.99493408203125,569.9302978515625,490.8135986328125,605.2277221679688,541.6432495117188,554.025634765625,546.237548828125
3,0004.jpg,0,569.3063354492188,353.23858642578125,575.9103393554688,354.25128173828125,593.5823974609375,388.7027587890625,597.9334716796875,393.2462463378906,627.38134765625,413.8034362792969,620.5918579101562,414.8326110839844,572.9048461914062,432.4530029296875,576.2623291015625,434.0309143066406,588.7669677734375,489.9490966796875,576.7764282226562,490.9617919921875,592.7904052734375,540.798583984375,564.0697631835938,543.6721801757812
4,0005.jpg,0,569.1865234375,353.7857971191406,573.554931640625,355.70623779296875,595.9605102539062,386.7442626953125,599.4138793945312,392.5045166015625,631.451171875,412.23529052734375,628.0319213867188,411.2089538574219,576.6460571289062,432.67266845703125,575.373046875,435.2000732421875,603.9784545898438,488.56439208984375,565.7586669921875,490.98419189453125,616.0081787109375,540.870361328125,544.5056762695312,545.7838134765625
5,0006.jpg,0,568.0156860351562,352.30267333984375,572.5318603515625,354.3175354003906,587.4129638671875,386.3487854003906,607.0737915039062,391.7430725097656,621.7288208007812,408.615234375,636.720458984375,408.87518310546875,578.4945068359375,432.5823059082031,574.8379516601562,434.19921875,608.0426025390625,488.7664794921875,566.4677124023438,492.30511474609375,612.8078002929688,541.9065551757812,541.568115234375,547.8860473632812
6,0007.jpg,0,569.329833984375,351.70489501953125,569.3187866210938,354.32470703125,594.8909301757812,380.0709228515625,609.4327392578125,388.04388427734375,634.74853515625,394.6335754394531,648.768310546875,397.9759216308594,580.8067016601562,431.39068603515625,573.8128051757812,433.30767822265625,609.8831176757812,487.8628845214844,567.0167236328125,491.4686279296875,611.9852905273438,541.7319946289062,539.6033325195312,547.248291015625
7,0008.jpg,0,570.789794921875,352.8844909667969,566.5125732421875,357.1053771972656,585.2825927734375,387.6584777832031,589.0272216796875,396.22479248046875,614.8599853515625,410.4520263671875,615.8228149414062,412.3645324707031,583.6823120117188,431.865966796875,574.715576171875,434.9424133300781,613.9415283203125,486.915771484375,569.3928833007812,492.98858642578125,613.5814819335938,538.312744140625,539.5979614257812,548.146484375
8,0009.jpg,0,570.5789184570312,354.84149169921875,564.679443359375,358.04461669921875,583.7633056640625,389.3125915527344,586.271484375,398.7097473144531,614.0188598632812,413.544189453125,611.2401733398438,415.75494384765625,584.72412109375,431.9476318359375,574.9840087890625,435.5438232421875,616.6798095703125,487.163330078125,573.0580444335938,493.8966064453125,616.4262084960938,536.9895629882812,543.8607177734375,547.5359497070312
9,0010.jpg,0,577.8204345703125,347.8282165527344,563.8026123046875,360.3945617675781,602.4739990234375,355.0198974609375,584.4266357421875,398.9535217285156,630.0086059570312,346.7481994628906,616.8098754882812,417.6352844238281,592.6674194335938,430.2576904296875,577.8302612304688,436.3295593261719,619.7999267578125,489.76513671875,576.3123779296875,496.63323974609375,611.820556640625,538.545654296875,542.8717651367188,547.2193603515625
10,0011.jpg,0,582.4764404296875,346.86492919921875,563.8982543945312,359.1901550292969,613.8261108398438,342.05718994140625,583.080322265625,393.81988525390625,643.1956787109375,323.3696594238281,618.7312622070312,416.2255859375,597.2158203125,428.38079833984375,579.8904418945312,434.1983642578125,621.8596801757812,489.5537109375,580.6390991210938,494.775634765625,612.3104248046875,538.7542724609375,545.7188720703125,545.1658325195312
11,0012.jpg,0,585.1851806640625,348.4254150390625,565.597900390625,361.5147705078125,618.0626220703125,334.48382568359375,586.82373046875,391.01226806640625,647.5755615234375,312.49163818359375,622.0191650390625,416.2231140136719,600.3642578125,430.64752197265625,582.2164306640625,436.55780029296875,626.8953857421875,489.597412109375,584.0524291992188,494.61260986328125,612.8864135742188,537.9628295898438,545.4929809570312,544.3493041992188
12,0013.jpg,0,586.7137451171875,348.2767333984375,567.4878540039062,365.0652160644531,614.52197265625,329.0192565917969,587.1115112304688,395.8061218261719,636.6696166992188,301.0143737792969,619.8665161132812,415.45123291015625,603.3388061523438,430.60162353515625,584.9859619140625,437.7237854003906,630.8255004882812,488.4071044921875,587.4059448242188,494.38653564453125,615.8801879882812,537.5225219726562,547.798583984375,543.3488159179688
13,0014.jpg,0,587.7477416992188,349.4719543457031,570.8651733398438,367.60845947265625,612.7352905273438,326.68634033203125,590.675048828125,399.66107177734375,629.0490112304688,295.0367431640625,621.87353515625,418.5688171386719,606.8629150390625,431.4581604003906,589.8545532226562,438.8152160644531,634.261474609375,490.1258544921875,593.2715454101562,495.291748046875,616.5719604492188,539.0278930664062,549.9005126953125,542.1920166015625
14,0015.jpg,0,591.5429077148438,351.22589111328125,575.7759399414062,366.258056640625,609.1473388671875,330.9274597167969,595.5050659179688,395.0787048339844,621.3429565429688,300.96954345703125,621.3721923828125,405.6574401855469,611.9580688476562,432.2489013671875,595.705322265625,437.8363342285156,635.388427734375,491.41363525390625,593.5977172851562,495.044677734375,620.4447021484375,540.0285034179688,553.23828125,542.9336547851562
15,0016.jpg,0,597.977294921875,352.78521728515625,578.3397216796875,370.8980712890625,610.650146484375,335.79766845703125,595.56640625,406.4906311035156,617.2233276367188,306.82684326171875,624.8131713867188,416.4708557128906,616.4279174804688,432.8970947265625,597.734130859375,439.7600402832031,637.9301147460938,491.318359375,596.0079345703125,496.78875732421875,621.0648803710938,538.9716796875,556.04443359375,543.0748901367188
16,0017.jpg,0,601.1321411132812,363.268798828125,583.6480712890625,371.0370178222656,611.25244140625,384.8748779296875,594.197509765625,401.59906005859375,637.16943359375,375.7877502441406,625.084716796875,388.9361572265625,624.2218627929688,435.0165710449219,607.0702514648438,440.5827941894531,642.4059448242188,489.2838134765625,594.9287109375,494.35723876953125,632.1778564453125,534.86767578125,557.4187622070312,543.074462890625
17,0018.jpg,0,602.2476196289062,356.4810485839844,586.873779296875,375.486328125,608.6219482421875,340.2249450683594,598.4932250976562,412.00360107421875,605.9951171875,307.29248046875,626.55419921875,415.2333068847656,619.92333984375,436.6210021972656,604.6417236328125,443.55902099609375,641.7599487304688,495.6204833984375,610.8092041015625,500.085693359375,619.4073486328125,537.6896362304688,564.7451782226562,539.4887084960938
18,0019.jpg,0,604.7798461914062,362.6040344238281,592.4713134765625,380.38421630859375,612.8772583007812,344.5523376464844,603.8419189453125,407.87835693359375,614.1202392578125,313.7172546386719,624.1777954101562,403.3984375,622.8526611328125,436.3951721191406,610.457763671875,443.41375732421875,646.62451171875,494.5606689453125,623.4544677734375,499.9405517578125,622.829345703125,535.31494140625,578.0633544921875,537.7403564453125
19,0020.jpg,0,607.780029296875,363.35235595703125,596.6522216796875,383.4483642578125,617.945068359375,332.0293273925781,607.4713745117188,408.14337158203125,621.7454833984375,289.552490234375,620.8397216796875,405.4407958984375,625.1801147460938,434.5647277832031,614.8316650390625,442.1943359375,649.0228881835938,490.55584716796875,634.5066528320312,496.182373046875,620.0609130859375,531.8627319335938,590.1478271484375,535.48291015625
20,0021.jpg,0,610.4266967773438,369.4353332519531,601.8941040039062,387.498046875,618.4204711914062,327.8486328125,602.50732421875,379.6254577636719,612.6760864257812,288.30255126953125,595.7501220703125,349.9698181152344,628.5048217773438,438.572509765625,620.57177734375,445.85040283203125,651.1292724609375,491.63995361328125,639.6859130859375,499.95965576171875,621.844482421875,529.926513671875,595.9495239257812,537.7352294921875
21,0022.jpg,0,616.5016479492188,367.75555419921875,598.4459228515625,393.1056823730469,628.4552612304688,335.99737548828125,607.4122314453125,418.9112243652344,628.0401611328125,295.40325927734375,610.2261352539062,416.2464599609375,633.3924560546875,438.9289855957031,620.2620849609375,448.69342041015625,655.6387329101562,491.622314453125,645.2417602539062,501.05279541015625,621.345947265625,530.3038940429688,607.530029296875,539.4092407226562
