frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,573.732421875,342.83428955078125,601.4141845703125,343.3343505859375,573.5026245117188,394.38134765625,622.8953857421875,394.2746887207031,599.8359375,434.8272705078125,652.0462646484375,433.2955932617187,555.8560791015625,445.5527038574219,562.9668579101562,447.1539306640625,605.8274536132812,526.6717529296875,555.5519409179688,529.2050170898438,618.4210815429688,585.9197998046875,506.5987243652344,592.5320434570312
1,0002.jpg,0,569.3855590820312,342.2591552734375,597.1076049804688,341.3614501953125,571.3851928710938,395.92779541015625,616.3515625,393.96038818359375,600.2341918945312,438.8227844238281,647.3193359375,436.7854919433594,554.3270263671875,447.4879760742187,561.741455078125,448.59027099609375,603.6962890625,529.2803344726562,553.1767578125,530.5601806640625,617.7230224609375,589.0054931640625,505.6419372558594,593.6533203125
2,0003.jpg,0,565.5719604492188,340.9415283203125,587.9343872070312,339.8708801269531,568.1277465820312,390.5266723632813,607.8933715820312,388.517822265625,597.157470703125,432.37890625,639.8666381835938,429.3228759765625,553.7770385742188,445.6604919433594,557.9800415039062,447.10491943359375,603.2813720703125,527.5230102539062,552.17138671875,529.365478515625,616.904541015625,589.0360717773438,506.1853942871094,594.2393798828125
3,0004.jpg,0,562.8958129882812,339.9994812011719,583.126953125,339.7835998535156,563.568603515625,391.7091064453125,604.683837890625,391.7262268066406,594.2513427734375,433.3131103515625,639.0153198242188,431.3236083984375,556.0800170898438,445.1174926757813,558.639404296875,447.2899169921875,605.361083984375,526.0292358398438,551.5377197265625,528.9140014648438,620.7367553710938,588.1888427734375,506.7843627929687,594.2827758789062
4,0005.jpg,0,563.8602294921875,339.421630859375,578.0769653320312,339.51202392578125,566.760009765625,391.5277099609375,603.1787109375,392.62066650390625,599.0159912109375,431.9767456054687,641.6411743164062,432.6246032714844,560.1552734375,443.7484130859375,558.950927734375,446.3404846191406,607.818603515625,523.6614379882812,552.2586669921875,527.448974609375,621.835205078125,585.650390625,509.01959228515625,593.6187133789062
5,0006.jpg,0,561.60791015625,337.5118408203125,575.6478881835938,335.7711181640625,569.102294921875,390.1274719238281,601.806396484375,387.71002197265625,602.6979370117188,427.9360046386719,642.5345458984375,425.5093688964844,558.693115234375,441.4054260253906,557.6815795898438,443.2127075195313,606.6026000976562,521.3651733398438,551.6377563476562,523.701904296875,619.6038818359375,585.0174560546875,509.330322265625,590.6322021484375
6,0007.jpg,0,558.8904418945312,334.3964538574219,571.1869506835938,333.5140380859375,566.8414916992188,384.3954772949219,599.291748046875,381.9124145507813,602.802734375,427.56341552734375,644.2662353515625,423.9287109375,561.236083984375,439.4469604492187,558.5911865234375,441.9693603515625,608.9557495117188,519.87255859375,550.353515625,523.4988403320312,622.6390991210938,581.29248046875,507.9339599609375,589.1182250976562
7,0008.jpg,0,564.88623046875,330.64837646484375,566.970947265625,332.0283203125,581.6822509765625,380.0185546875,597.7958374023438,383.8193359375,618.4011840820312,420.8360595703125,646.821044921875,420.9617614746094,566.4010620117188,437.2630615234375,557.618896484375,440.6054382324219,611.546142578125,517.2034912109375,551.1004638671875,521.9279174804688,621.8902587890625,580.3779907226562,509.6768798828125,587.5317993164062
8,0009.jpg,0,570.513671875,335.1911926269531,562.452392578125,336.794189453125,603.81201171875,380.3700256347656,595.637939453125,390.8940124511719,655.3632202148438,410.489501953125,652.5510864257812,420.46343994140625,574.4318237304688,439.7929382324219,561.3157958984375,441.6987609863281,605.9417724609375,515.7633056640625,549.2755126953125,519.8409423828125,616.3494873046875,585.2010498046875,513.640869140625,593.088134765625
9,0010.jpg,0,573.455322265625,333.89874267578125,557.7386474609375,340.7168273925781,619.3677978515625,370.4749145507813,578.5048217773438,396.8714294433594,666.9129638671875,395.6273193359375,620.8245239257812,427.1848449707031,578.1873779296875,438.1474304199219,561.4573974609375,441.7872619628906,606.365234375,515.3974609375,551.1115112304688,520.9548950195312,619.0443115234375,585.603271484375,515.29296875,593.7044067382812
