frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,frame_0000.jpg,0,379.4940185546875,268.4662780761719,395.1171875,265.36962890625,387.3713989257813,316.85675048828125,413.9112854003906,316.8402099609375,420.575439453125,345.0067138671875,440.75006103515625,350.9710998535156,376.4918823242187,358.5705261230469,381.4537963867187,359.1596374511719,407.7334289550781,429.0793762207031,380.7217102050781,430.0984802246094,419.90618896484375,494.0906982421875,357.0088195800781,500.11822509765625
1,frame_0001.jpg,0,380.4693603515625,265.34686279296875,393.2258605957031,262.4432373046875,384.0305480957031,314.732177734375,411.1925048828125,312.9207763671875,416.5291137695313,345.14984130859375,439.8533935546875,349.6826171875,376.3405456542969,358.53497314453125,379.2278747558594,359.23699951171875,412.559814453125,430.1086120605469,380.3446960449219,431.2264404296875,425.5648498535156,494.5548095703125,354.39459228515625,500.9995422363281
2,frame_0002.jpg,0,381.3009948730469,263.9747314453125,390.989501953125,263.2193603515625,384.296875,312.0287170410156,409.9846496582031,314.97607421875,417.6726684570313,343.90325927734375,442.4880676269531,350.98944091796875,378.0013732910156,358.8099060058594,378.9518127441406,360.51458740234375,412.6078186035156,429.8261413574219,380.1056213378906,432.64801025390625,422.7101440429687,493.2913513183594,355.38287353515625,500.70123291015625
3,frame_0003.jpg,0,395.287109375,265.4771423339844,376.6549377441406,263.3421630859375,410.5978698730469,314.150390625,395.3367919921875,317.1991882324219,442.9900512695313,343.52587890625,434.8581237792969,351.4885559082031,392.3164367675781,358.6969299316406,375.15283203125,360.0085144042969,417.00634765625,430.062744140625,373.450927734375,433.6268005371094,421.2724609375,493.4376220703125,356.93438720703125,502.162353515625
4,frame_0004.jpg,0,393.2430725097656,266.18756103515625,373.8351440429687,263.5159912109375,419.3861083984375,312.1833801269531,392.3399658203125,316.069091796875,450.88421630859375,340.87310791015625,432.6098327636719,352.0108642578125,390.6041564941406,359.95703125,377.9015197753906,361.0071411132813,403.0758666992187,431.7681579589844,390.9429626464844,433.64013671875,400.39788818359375,496.1479187011719,390.1549987792969,501.150390625
5,frame_0005.jpg,0,398.2662353515625,266.1198425292969,367.8135070800781,262.63427734375,429.18316650390625,309.4481201171875,378.1483154296875,313.83612060546875,461.08880615234375,332.96002197265625,412.3688659667969,346.070068359375,390.8223571777344,358.99359130859375,377.605712890625,359.66497802734375,383.0387268066406,431.5230407714844,408.457275390625,433.2376708984375,361.5080871582031,497.9051513671875,425.5394287109375,502.2813415527344
6,frame_0006.jpg,0,399.82611083984375,264.2071533203125,368.8042297363281,263.7282409667969,432.0256042480469,304.7228698730469,378.223388671875,315.1985168457031,467.49420166015625,328.8780212402344,414.2444152832031,348.2947998046875,394.3133544921875,359.47613525390625,376.5091247558594,360.5880737304687,398.4779357910156,429.9406127929687,393.1471557617187,431.89898681640625,388.46148681640625,498.5670776367187,391.77398681640625,502.3289184570313
7,frame_0007.jpg,0,402.30908203125,262.19744873046875,370.3773498535156,265.3468017578125,433.9172668457031,295.89361572265625,376.9173583984375,317.0531921386719,476.331298828125,312.41302490234375,412.13873291015625,352.5454406738281,398.2528381347656,358.43988037109375,375.1490478515625,361.0610656738281,416.2212219238281,429.26019287109375,377.1803894042969,433.5166015625,417.4979553222656,495.8798828125,358.594970703125,504.4429931640625
8,frame_0008.jpg,0,400.2070617675781,259.09661865234375,371.6238403320313,264.0911865234375,437.2975158691406,282.8925476074219,374.1334228515625,314.919189453125,484.84722900390625,289.8206481933594,409.986328125,354.02288818359375,399.1554870605469,357.3521423339844,378.4407958984375,360.7839965820313,417.7620239257813,429.6627807617187,381.0244445800781,433.7571411132813,419.1259765625,496.0797729492187,358.5049743652344,504.8294067382813
9,frame_0009.jpg,0,402.4978637695313,256.9952392578125,370.2359313964844,265.7794189453125,442.0075378417969,267.8902587890625,373.9865417480469,316.8431701660156,491.2537231445313,258.19793701171875,411.8456115722656,353.2708740234375,401.0697326660156,356.82330322265625,377.26507568359375,361.4947509765625,422.0598754882813,429.74951171875,377.8150329589844,434.9306640625,420.19000244140625,496.0440673828125,353.6143798828125,505.6737060546875
10,frame_0010.jpg,0,403.6780090332031,254.28717041015625,369.60736083984375,266.3237609863281,441.5520935058594,256.03955078125,372.8979187011719,315.6202697753906,482.5696716308594,239.6688232421875,406.87994384765625,349.95721435546875,404.0293273925781,354.8223571777344,378.1373291015625,360.4234924316406,429.30126953125,426.82281494140625,379.5145568847656,432.54345703125,423.8002624511719,494.5802917480469,349.2928466796875,503.50543212890625
11,frame_0011.jpg,0,405.16796875,253.34625244140625,371.39105224609375,269.56427001953125,437.98529052734375,245.31396484375,370.9894104003906,316.9076843261719,474.5108337402344,222.19223022460935,401.4735412597656,348.42633056640625,405.547607421875,355.93963623046875,379.8726806640625,362.9996032714844,434.2208862304687,427.6552429199219,385.8596801757813,434.8927001953125,423.20941162109375,495.6775512695313,349.6355895996094,505.966552734375
12,frame_0012.jpg,0,406.0903625488281,251.06051635742188,374.1519775390625,269.0759582519531,440.0832214355469,234.568603515625,368.9757080078125,317.06927490234375,472.0556335449219,201.07064819335935,398.7406311035156,346.8424072265625,404.7048950195313,358.1214904785156,379.7340698242187,365.5976257324219,441.47125244140625,427.621826171875,392.79010009765625,434.7146606445313,422.8421020507813,495.26800537109375,343.2149658203125,506.138671875
13,frame_0013.jpg,0,406.7825927734375,252.82058715820312,374.0826416015625,275.1612854003906,443.14886474609375,227.54556274414065,371.2723388671875,323.1473693847656,468.5848083496094,186.49688720703125,401.8796081542969,345.17913818359375,409.6917114257813,359.6847229003906,383.9529724121094,368.695068359375,447.31744384765625,426.92047119140625,398.0390625,435.3279113769531,424.86029052734375,493.568603515625,346.00726318359375,502.99957275390625
14,frame_0014.jpg,0,407.5395202636719,254.37060546875,374.39599609375,278.4027099609375,437.4051818847656,225.6887054443359,370.89166259765625,324.35302734375,450.0813903808594,185.96994018554688,403.4205017089844,342.573486328125,415.4367980957031,361.6368713378906,389.0221252441406,371.33160400390625,453.6563720703125,428.135986328125,406.3135986328125,436.4971923828125,426.0044860839844,494.1268005371094,349.8193359375,500.6787109375
15,frame_0015.jpg,0,412.6172790527344,257.8441162109375,373.6083984375,281.8133544921875,435.77581787109375,231.99859619140625,372.0403442382813,324.2664794921875,440.06585693359375,196.4878387451172,395.8563537597656,329.64764404296875,421.8472900390625,362.9339599609375,391.9298706054687,372.66064453125,459.0840148925781,429.8545227050781,407.3268432617187,439.0529174804687,432.7867736816406,493.7180480957031,359.69036865234375,500.5684814453125
16,frame_0016.jpg,0,413.9322509765625,257.9279479980469,375.8156433105469,285.0506286621094,433.1513977050781,228.6695098876953,368.3379211425781,327.73138427734375,432.9319763183594,194.3174285888672,386.6288757324219,330.2703857421875,427.710693359375,363.17669677734375,398.547607421875,374.2317810058594,462.3849792480469,430.6045837402344,412.443603515625,441.4209289550781,433.9956970214844,494.5875244140625,362.6353759765625,501.2638549804687
17,frame_0017.jpg,0,415.0943298339844,258.4940185546875,377.3497924804687,287.3598327636719,426.3771667480469,225.2521820068359,364.67822265625,330.389892578125,421.1952819824219,182.024169921875,381.08551025390625,326.4185791015625,431.07427978515625,366.7200012207031,402.2425537109375,378.4905090332031,464.426025390625,433.5582275390625,417.6346740722656,444.9416198730469,432.2152404785156,496.911865234375,366.17913818359375,503.9267578125
18,frame_0018.jpg,0,416.9507751464844,262.3301086425781,379.73919677734375,291.60626220703125,430.7224426269531,241.5924835205078,362.9075622558594,338.4297790527344,418.13372802734375,215.47752380371097,378.65277099609375,329.467041015625,435.8343811035156,370.2492370605469,408.4954833984375,382.228759765625,464.6522521972656,436.6587829589844,427.2547912597656,447.8236999511719,430.34771728515625,495.9173889160156,370.6507568359375,498.1519470214844
19,frame_0019.jpg,0,413.84661865234375,268.02203369140625,381.2028198242187,301.749267578125,423.7711486816406,223.80169677734375,366.5003051757813,340.7030944824219,407.0338439941406,171.2461395263672,377.9913024902344,330.2597351074219,434.810546875,375.8245239257813,410.0736999511719,388.82073974609375,465.1938781738281,440.74176025390625,438.2372741699219,450.8382568359375,423.88372802734375,491.0753784179687,379.9334411621094,491.54486083984375
20,frame_0020.jpg,0,415.1344604492187,272.1522521972656,383.88720703125,307.5832214355469,420.4419860839844,224.90216064453125,371.9837036132813,336.070556640625,401.369384765625,174.4404296875,382.2422790527344,317.1564636230469,437.2268981933594,374.2588195800781,413.6030578613281,388.454833984375,468.2395629882813,437.6920776367187,442.9241943359375,451.3753051757813,427.7129211425781,489.2448120117187,391.1872863769531,496.3712768554687
21,frame_0021.jpg,0,417.1304626464844,274.6029052734375,387.845703125,304.76611328125,418.7476806640625,227.44418334960935,374.7983093261719,324.174560546875,397.7001037597656,175.17355346679688,378.8746948242187,300.2970886230469,438.6183776855469,376.3420715332031,417.2900085449219,388.15814208984375,466.48095703125,437.801025390625,447.781005859375,448.5970458984375,425.2999267578125,489.0357666015625,401.2225341796875,494.15081787109375
22,frame_0022.jpg,0,415.4936828613281,278.4277648925781,390.76409912109375,301.6864929199219,418.632080078125,228.61851501464844,388.0980529785156,297.2965393066406,394.8270568847656,177.9293975830078,389.5836181640625,253.885986328125,437.9608154296875,376.9265441894531,419.8419494628906,386.7236328125,470.9844055175781,437.2530517578125,458.3577880859375,447.4112548828125,424.999267578125,488.06884765625,413.1417846679687,492.9517517089844
23,frame_0023.jpg,0,416.4425048828125,279.0930480957031,392.5740661621094,301.3152160644531,419.9297790527344,230.85983276367188,390.5512390136719,294.81640625,395.3416137695313,185.01126098632812,386.46197509765625,253.73764038085935,440.6590270996094,376.9222717285156,423.0443115234375,386.4734497070313,475.6843566894531,436.4121398925781,463.28515625,446.1181640625,429.9012451171875,489.1617431640625,417.357421875,493.1456298828125
